date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,RELIANCE.NS,ORB,LONG,1507.14,1522.17,1499.62,WIN,-1.657
2024-06-28,RELIANCE.NS,ORB,LONG,1524.34,1539.54,1516.74,WIN,-1.627
2024-07-01,RELIANCE.NS,ORB,LONG,1555.7,1571.22,1547.94,LOSS,-3.07
2024-07-03,RELIANCE.NS,ORB,LONG,1559.48,1575.04,1551.71,LOSS,-3.064
2024-07-04,RELIANCE.NS,ORB,LONG,1550.2,1565.66,1542.47,LOSS,-3.079
2024-07-05,RELIANCE.NS,ORB,LONG,1547.04,1562.47,1539.32,WIN,-1.588
2024-07-08,RELIANCE.NS,ORB,LONG,1582.06,1597.84,1574.17,LOSS,-3.027
2024-07-11,RELIANCE.NS,ORB,LONG,1580.57,1596.33,1572.68,LOSS,-3.029
2024-07-12,RELIANCE.NS,ORB,LONG,1577.58,1593.32,1569.71,WIN,-1.538
2024-07-16,RELIANCE.NS,ORB,LONG,1586.54,1602.37,1578.63,LOSS,-3.02
2024-07-18,RELIANCE.NS,ORB,LONG,1569.12,1584.77,1561.29,LOSS,-3.048
2024-07-23,RELIANCE.NS,ORB,LONG,1494.44,1509.35,1486.99,LOSS,-3.175
2024-07-24,RELIANCE.NS,ORB,LONG,1478.51,1493.26,1471.14,WIN,-1.708
2024-07-25,RELIANCE.NS,ORB,LONG,1474.53,1489.24,1467.18,WIN,-1.715
2024-07-26,RELIANCE.NS,ORB,LONG,1485.88,1500.7,1478.47,WIN,-1.695
2024-07-29,RELIANCE.NS,ORB,LONG,1505.35,1520.36,1497.84,PARTIAL,-2.419
2024-07-30,RELIANCE.NS,ORB,LONG,1510.4,1525.46,1502.87,LOSS,-3.147
2024-07-31,RELIANCE.NS,ORB,LONG,1497.43,1512.37,1489.96,PARTIAL,-2.876
2024-08-01,RELIANCE.NS,ORB,LONG,1505.4,1520.41,1497.89,LOSS,-3.156
2024-08-06,RELIANCE.NS,ORB,LONG,1448.8,1463.25,1441.57,WIN,-1.764
2024-08-08,RELIANCE.NS,ORB,LONG,1451.16,1465.63,1443.92,LOSS,-3.255
2024-08-09,RELIANCE.NS,ORB,LONG,1453.62,1468.12,1446.37,LOSS,-3.25
2024-08-13,RELIANCE.NS,ORB,LONG,1454.37,1468.88,1447.12,PARTIAL,-2.853
2024-08-14,RELIANCE.NS,ORB,LONG,1457.16,1471.69,1449.89,LOSS,-3.244
2024-08-16,RELIANCE.NS,ORB,LONG,1462.24,1476.82,1454.94,LOSS,-3.234
2024-08-19,RELIANCE.NS,ORB,LONG,1481.04,1495.81,1473.65,PARTIAL,-2.603
