date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-28,RELIANCE.NS,VWAP,LONG,1521.3,1547.69,1516.74,WIN,-0.895
2024-07-05,RELIANCE.NS,VWAP,LONG,1543.95,1566.78,1533.55,WIN,-1.112
2024-11-22,RELIANCE.NS,VWAP,LONG,1225.73,1247.25,1215.15,WIN,-1.508
2024-12-18,RELIANCE.NS,VWAP,LONG,1236.95,1246.31,1233.24,WIN,-2.477
2025-01-02,RELIANCE.NS,VWAP,LONG,1217.61,1230.5,1212.72,WIN,-2.226
2025-01-07,RELIANCE.NS,VWAP,LONG,1218.36,1230.62,1213.96,WIN,-2.277
2025-02-04,RELIANCE.NS,VWAP,LONG,1244.33,1268.47,1239.16,WIN,-1.275
2025-03-07,RELIANCE.NS,VWAP,LONG,1212.37,1233.94,1204.76,WIN,-1.521
2025-04-03,RELIANCE.NS,VWAP,LONG,1229.37,1239.57,1225.69,WIN,-2.425
2025-04-09,RELIANCE.NS,VWAP,LONG,1166.01,1176.35,1161.03,WIN,-2.544
2025-04-11,RELIANCE.NS,VWAP,LONG,1191.59,1207.43,1188.01,WIN,-2.027
2025-04-21,RELIANCE.NS,VWAP,LONG,1266.21,1282.68,1259.44,WIN,-1.859
2025-04-29,RELIANCE.NS,VWAP,LONG,1366.91,1387.99,1361.82,WIN,-1.384
2025-05-12,RELIANCE.NS,VWAP,LONG,1395.83,1419.5,1391.64,WIN,-1.17
2025-05-23,RELIANCE.NS,VWAP,LONG,1402.41,1416.74,1398.2,WIN,-1.83
2025-06-20,RELIANCE.NS,VWAP,LONG,1426.73,1449.31,1419.57,WIN,-1.221
2025-07-01,RELIANCE.NS,VWAP,LONG,1496.13,1513.92,1491.14,WIN,-1.484
2025-07-29,RELIANCE.NS,VWAP,LONG,1378.88,1401.17,1374.74,WIN,-1.284
2025-08-19,RELIANCE.NS,VWAP,LONG,1391.39,1410.07,1386.32,WIN,-1.533
2025-09-02,RELIANCE.NS,VWAP,LONG,1356.15,1368.5,1351.79,WIN,-2.039
2025-10-16,RELIANCE.NS,VWAP,LONG,1376.48,1391.27,1372.25,WIN,-1.831
2025-11-26,RELIANCE.NS,VWAP,LONG,1543.84,1560.67,1537.42,WIN,-1.501
2025-12-31,RELIANCE.NS,VWAP,LONG,1542.54,1562.8,1537.92,WIN,-1.28
2026-01-28,RELIANCE.NS,VWAP,LONG,1386.38,1397.17,1382.13,WIN,-2.108
2026-02-02,RELIANCE.NS,VWAP,LONG,1341.34,1372.93,1332.83,WIN,-0.627
2026-03-05,RELIANCE.NS,VWAP,LONG,1354.45,1380.5,1350.39,WIN,-1.03
2026-03-09,RELIANCE.NS,VWAP,LONG,1376.37,1407.8,1367.26,WIN,-0.623
2026-03-20,RELIANCE.NS,VWAP,LONG,1399.4,1413.5,1393.31,WIN,-1.851
2026-03-30,RELIANCE.NS,VWAP,LONG,1336.33,1347.67,1331.43,WIN,-2.145
2026-04-17,RELIANCE.NS,VWAP,LONG,1341.34,1357.8,1337.32,WIN,-1.755
2026-04-27,RELIANCE.NS,VWAP,LONG,1314.31,1349.47,1308.38,WIN,-0.369
2026-04-28,RELIANCE.NS,VWAP,LONG,1359.36,1380.37,1354.29,WIN,-1.397
2026-04-29,RELIANCE.NS,VWAP,LONG,1393.39,1416.83,1388.52,WIN,-1.188
2026-05-04,RELIANCE.NS,VWAP,LONG,1434.83,1454.63,1430.53,WIN,-1.408
