date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-01,SBIN.NS,MOMENTUM,LONG,833.46,853.5,823.45,LOSS,-6.001
2024-07-08,SBIN.NS,MOMENTUM,LONG,843.67,882.38,824.31,PARTIAL,-5.248
2024-07-09,SBIN.NS,MOMENTUM,LONG,843.82,877.8,826.83,PARTIAL,-4.678
2024-07-10,SBIN.NS,MOMENTUM,LONG,844.01,872.39,829.82,LOSS,-6.42
2024-07-11,SBIN.NS,MOMENTUM,LONG,838.42,855.62,829.82,PARTIAL,-4.602
2024-07-16,SBIN.NS,MOMENTUM,LONG,865.8,919.86,838.77,PARTIAL,-4.901
2024-07-18,SBIN.NS,MOMENTUM,LONG,864.18,906.2,843.17,PARTIAL,-3.265
2024-07-19,SBIN.NS,MOMENTUM,LONG,878.26,936.38,849.2,PARTIAL,-5.285
2024-07-22,SBIN.NS,MOMENTUM,LONG,864.96,888.48,853.21,LOSS,-5.984
2024-07-31,SBIN.NS,MOMENTUM,LONG,857.51,878.24,847.14,PARTIAL,-4.93
2024-08-01,SBIN.NS,MOMENTUM,LONG,861.38,887.66,848.24,LOSS,-6.169
2024-08-21,SBIN.NS,MOMENTUM,LONG,804.96,819.33,797.77,LOSS,-5.862
2024-08-22,SBIN.NS,MOMENTUM,LONG,803.68,815.77,797.64,PARTIAL,-4.918
2024-08-23,SBIN.NS,MOMENTUM,LONG,806.13,821.49,798.46,PARTIAL,-5.81
2024-09-24,SBIN.NS,MOMENTUM,LONG,784.3,806.41,773.25,PARTIAL,-5.325
2024-09-27,SBIN.NS,MOMENTUM,LONG,786.85,807.49,776.53,PARTIAL,-5.084
2024-10-14,SBIN.NS,MOMENTUM,LONG,787.0,810.36,775.32,PARTIAL,-4.79
2024-10-15,SBIN.NS,MOMENTUM,LONG,790.43,816.02,777.64,PARTIAL,-5.266
2024-10-17,SBIN.NS,MOMENTUM,LONG,794.36,821.14,780.97,PARTIAL,-4.944
2024-10-18,SBIN.NS,MOMENTUM,LONG,795.93,821.16,783.31,PARTIAL,-3.98
2024-10-21,SBIN.NS,MOMENTUM,LONG,809.27,853.79,787.02,PARTIAL,-6.345
2024-10-22,SBIN.NS,MOMENTUM,LONG,798.77,818.88,788.72,LOSS,-6.266
2024-10-30,SBIN.NS,MOMENTUM,LONG,812.51,869.19,784.17,PARTIAL,-5.693
2024-10-31,SBIN.NS,MOMENTUM,LONG,804.66,837.78,788.11,PARTIAL,-5.047
2024-11-01,SBIN.NS,MOMENTUM,LONG,807.02,839.43,790.81,PARTIAL,-5.202
2024-11-04,SBIN.NS,MOMENTUM,LONG,807.31,835.59,793.17,LOSS,-6.706
2024-11-06,SBIN.NS,MOMENTUM,LONG,833.32,893.15,803.4,PARTIAL,-4.241
2024-11-07,SBIN.NS,MOMENTUM,LONG,844.9,915.06,809.81,PARTIAL,-4.997
2024-11-08,SBIN.NS,MOMENTUM,LONG,843.52,898.8,815.88,PARTIAL,-6.754
2024-11-11,SBIN.NS,MOMENTUM,LONG,830.18,855.49,817.52,PARTIAL,-4.723
2024-11-25,SBIN.NS,MOMENTUM,LONG,811.53,846.54,794.03,PARTIAL,-2.921
2024-11-26,SBIN.NS,MOMENTUM,LONG,828.21,884.06,800.29,PARTIAL,-5.474
2024-11-27,SBIN.NS,MOMENTUM,LONG,822.82,859.82,804.31,PARTIAL,-5.485
2024-11-28,SBIN.NS,MOMENTUM,LONG,818.5,842.5,806.5,PARTIAL,-4.418
2024-11-29,SBIN.NS,MOMENTUM,LONG,825.37,857.76,809.17,PARTIAL,-5.202
2024-12-04,SBIN.NS,MOMENTUM,LONG,837.98,879.99,816.97,PARTIAL,-4.201
2024-12-05,SBIN.NS,MOMENTUM,LONG,843.91,888.49,821.63,PARTIAL,-4.207
2024-12-06,SBIN.NS,MOMENTUM,LONG,849.07,894.25,826.48,PARTIAL,-4.996
2024-12-09,SBIN.NS,MOMENTUM,LONG,842.93,868.79,830.0,PARTIAL,-4.956
2025-01-17,SBIN.NS,MOMENTUM,LONG,751.97,766.22,744.84,LOSS,-6.267
2025-01-20,SBIN.NS,MOMENTUM,LONG,754.62,773.38,745.24,PARTIAL,-4.069
2025-01-21,SBIN.NS,MOMENTUM,LONG,770.12,813.34,748.51,LOSS,-8.0
2025-01-30,SBIN.NS,MOMENTUM,LONG,744.36,757.13,737.98,PARTIAL,-4.94
2025-01-31,SBIN.NS,MOMENTUM,LONG,750.59,772.88,739.45,PARTIAL,-4.384
2025-02-01,SBIN.NS,MOMENTUM,LONG,760.31,795.64,742.64,LOSS,-7.585
2025-02-03,SBIN.NS,MOMENTUM,LONG,748.53,757.9,743.85,LOSS,-5.97
2025-02-05,SBIN.NS,MOMENTUM,LONG,765.41,801.48,747.37,PARTIAL,-7.113
2025-03-06,SBIN.NS,MOMENTUM,LONG,722.23,768.89,698.9,PARTIAL,-6.174
2025-03-07,SBIN.NS,MOMENTUM,LONG,718.36,750.63,702.22,PARTIAL,-5.573
2025-03-10,SBIN.NS,MOMENTUM,LONG,719.04,747.11,705.01,PARTIAL,-6.188
2025-03-11,SBIN.NS,MOMENTUM,LONG,711.34,721.04,706.49,PARTIAL,-5.041
2025-03-20,SBIN.NS,MOMENTUM,LONG,734.01,778.24,711.89,PARTIAL,-5.342
2025-03-21,SBIN.NS,MOMENTUM,LONG,735.92,775.7,716.03,PARTIAL,-5.102
2025-03-24,SBIN.NS,MOMENTUM,LONG,743.82,791.35,720.06,PARTIAL,-2.473
2025-03-25,SBIN.NS,MOMENTUM,LONG,769.24,850.37,728.67,PARTIAL,-6.708
2025-03-26,SBIN.NS,MOMENTUM,LONG,757.56,804.66,734.01,PARTIAL,-6.415
2025-03-27,SBIN.NS,MOMENTUM,LONG,749.51,775.44,736.55,PARTIAL,-4.325
2025-03-28,SBIN.NS,MOMENTUM,LONG,757.66,792.56,740.21,PARTIAL,-5.457
2025-04-03,SBIN.NS,MOMENTUM,LONG,755.6,771.07,747.86,PARTIAL,-4.2
2025-04-16,SBIN.NS,MOMENTUM,LONG,749.22,762.39,742.63,PARTIAL,-4.359
2025-04-21,SBIN.NS,MOMENTUM,LONG,787.98,860.24,751.85,PARTIAL,-3.472
2025-04-22,SBIN.NS,MOMENTUM,LONG,805.79,895.12,761.13,PARTIAL,-4.912
2025-04-23,SBIN.NS,MOMENTUM,LONG,810.55,892.33,769.66,PARTIAL,-6.553
2025-04-24,SBIN.NS,MOMENTUM,LONG,797.55,843.17,774.74,PARTIAL,-5.035
2025-04-25,SBIN.NS,MOMENTUM,LONG,799.76,841.69,778.79,LOSS,-7.623
2025-05-13,SBIN.NS,MOMENTUM,LONG,783.66,811.13,769.93,PARTIAL,-4.81
2025-05-14,SBIN.NS,MOMENTUM,LONG,790.68,826.71,772.67,PARTIAL,-5.785
2025-05-15,SBIN.NS,MOMENTUM,LONG,789.4,818.91,774.65,PARTIAL,-4.757
2025-05-16,SBIN.NS,MOMENTUM,LONG,804.8,859.18,777.61,PARTIAL,-6.549
2025-05-20,SBIN.NS,MOMENTUM,LONG,798.95,831.74,782.55,PARTIAL,-6.671
2025-05-27,SBIN.NS,MOMENTUM,LONG,795.19,814.25,785.67,PARTIAL,-5.218
2025-05-29,SBIN.NS,MOMENTUM,LONG,799.8,822.86,788.27,PARTIAL,-5.307
2025-06-02,SBIN.NS,MOMENTUM,LONG,813.66,853.67,793.66,PARTIAL,-4.918
2025-06-03,SBIN.NS,MOMENTUM,LONG,817.02,856.71,797.17,PARTIAL,-5.779
2025-06-04,SBIN.NS,MOMENTUM,LONG,817.82,855.03,799.21,PARTIAL,-6.275
2025-06-05,SBIN.NS,MOMENTUM,LONG,809.51,828.16,800.18,PARTIAL,-5.375
2025-06-10,SBIN.NS,MOMENTUM,LONG,821.82,853.93,805.77,PARTIAL,-5.448
2025-06-11,SBIN.NS,MOMENTUM,LONG,817.82,838.38,807.53,PARTIAL,-5.229
2025-06-12,SBIN.NS,MOMENTUM,LONG,816.82,833.35,808.55,LOSS,-5.909
2025-06-26,SBIN.NS,MOMENTUM,LONG,802.8,820.71,793.85,LOSS,-6.098
2025-06-30,SBIN.NS,MOMENTUM,LONG,809.81,837.82,795.81,PARTIAL,-3.638
2025-07-01,SBIN.NS,MOMENTUM,LONG,820.82,862.02,800.22,PARTIAL,-4.937
2025-07-02,SBIN.NS,MOMENTUM,LONG,821.82,857.97,803.75,PARTIAL,-5.953
2025-07-03,SBIN.NS,MOMENTUM,LONG,814.31,832.76,805.09,PARTIAL,-5.798
2025-07-17,SBIN.NS,MOMENTUM,LONG,839.24,893.19,812.26,PARTIAL,-5.986
2025-07-18,SBIN.NS,MOMENTUM,LONG,832.83,868.27,815.11,PARTIAL,-5.941
2025-07-21,SBIN.NS,MOMENTUM,LONG,823.82,838.93,816.27,PARTIAL,-4.81
2025-08-08,SBIN.NS,MOMENTUM,LONG,805.8,816.45,800.48,LOSS,-5.624
2025-08-11,SBIN.NS,MOMENTUM,LONG,808.81,824.89,800.77,WIN,-2.957
2025-08-12,SBIN.NS,MOMENTUM,LONG,825.77,867.71,804.81,PARTIAL,-5.471
2025-08-13,SBIN.NS,MOMENTUM,LONG,823.47,855.47,807.47,PARTIAL,-5.055
2025-08-14,SBIN.NS,MOMENTUM,LONG,822.82,848.75,809.86,PARTIAL,-4.408
2025-08-18,SBIN.NS,MOMENTUM,LONG,836.84,885.11,812.7,PARTIAL,-5.878
2025-08-20,SBIN.NS,MOMENTUM,LONG,829.53,853.11,817.74,PARTIAL,-4.892
2025-09-04,SBIN.NS,MOMENTUM,LONG,815.46,831.03,807.68,PARTIAL,-5.649
2025-09-11,SBIN.NS,MOMENTUM,LONG,819.92,842.74,808.51,PARTIAL,-4.423
2025-09-12,SBIN.NS,MOMENTUM,LONG,824.92,852.69,811.04,PARTIAL,-5.016
2025-09-15,SBIN.NS,MOMENTUM,LONG,824.37,847.02,813.05,PARTIAL,-4.807
2025-09-16,SBIN.NS,MOMENTUM,LONG,825.93,847.98,814.9,PARTIAL,-4.162
2025-09-17,SBIN.NS,MOMENTUM,LONG,835.13,869.95,817.73,PARTIAL,-2.153
2025-09-18,SBIN.NS,MOMENTUM,LONG,859.51,928.33,825.1,PARTIAL,-5.254
2025-09-19,SBIN.NS,MOMENTUM,LONG,852.85,897.69,830.44,PARTIAL,-3.576
