date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,SBIN.NS,ORB,LONG,829.77,838.05,825.63,LOSS,-5.319
2024-06-28,SBIN.NS,ORB,LONG,832.72,841.03,828.57,WIN,-3.806
2024-07-03,SBIN.NS,ORB,LONG,815.12,823.25,811.06,WIN,-3.91
2024-07-05,SBIN.NS,ORB,LONG,823.97,832.19,819.86,WIN,-3.857
2024-07-08,SBIN.NS,ORB,LONG,845.36,853.79,841.14,LOSS,-5.23
2024-07-09,SBIN.NS,ORB,LONG,845.5,853.94,841.29,LOSS,-5.23
2024-07-11,SBIN.NS,ORB,LONG,840.1,848.48,835.91,LOSS,-5.26
2024-07-12,SBIN.NS,ORB,LONG,842.36,850.76,838.16,PARTIAL,-4.699
2024-07-15,SBIN.NS,ORB,LONG,845.31,853.74,841.09,WIN,-3.735
2024-07-16,SBIN.NS,ORB,LONG,867.53,876.18,863.2,LOSS,-5.109
2024-07-18,SBIN.NS,ORB,LONG,865.91,874.54,861.59,WIN,-3.622
2024-07-19,SBIN.NS,ORB,LONG,880.02,888.79,875.63,LOSS,-5.044
2024-07-22,SBIN.NS,ORB,LONG,866.69,875.34,862.37,WIN,-3.618
2024-07-24,SBIN.NS,ORB,LONG,849.73,858.21,845.49,LOSS,-5.206
2024-07-25,SBIN.NS,ORB,LONG,833.31,841.62,829.16,LOSS,-5.299
2024-07-26,SBIN.NS,ORB,LONG,830.51,838.79,826.37,WIN,-3.819
2024-07-29,SBIN.NS,ORB,LONG,851.55,860.04,847.3,WIN,-3.7
2024-07-30,SBIN.NS,ORB,LONG,860.06,868.63,855.77,LOSS,-5.15
2024-08-01,SBIN.NS,ORB,LONG,863.1,871.71,858.8,LOSS,-5.133
2024-08-06,SBIN.NS,ORB,LONG,808.88,816.95,804.84,LOSS,-5.444
2024-08-08,SBIN.NS,ORB,LONG,798.41,806.37,794.42,LOSS,-5.509
2024-08-09,SBIN.NS,ORB,LONG,802.34,810.34,798.34,WIN,-3.988
2024-08-13,SBIN.NS,ORB,LONG,799.88,807.86,795.89,LOSS,-5.499
2024-08-14,SBIN.NS,ORB,LONG,787.54,795.4,783.61,PARTIAL,-5.123
2024-08-16,SBIN.NS,ORB,LONG,789.56,797.43,785.62,WIN,-4.069
2024-08-19,SBIN.NS,ORB,LONG,801.36,809.35,797.36,LOSS,-5.49
2024-08-20,SBIN.NS,ORB,LONG,804.26,812.28,800.25,LOSS,-5.472
2024-08-22,SBIN.NS,ORB,LONG,805.29,813.32,801.27,LOSS,-5.466
2024-08-26,SBIN.NS,ORB,LONG,804.31,812.33,800.29,LOSS,-5.472
2024-08-28,SBIN.NS,ORB,LONG,801.11,809.1,797.11,LOSS,-5.492
2024-08-29,SBIN.NS,ORB,LONG,796.0,803.94,792.03,LOSS,-5.524
2024-08-30,SBIN.NS,ORB,LONG,803.47,811.48,799.46,LOSS,-5.477
2024-09-02,SBIN.NS,ORB,LONG,803.62,811.63,799.61,LOSS,-5.476
2024-09-03,SBIN.NS,ORB,LONG,808.39,816.45,804.35,LOSS,-5.447
2024-09-04,SBIN.NS,ORB,LONG,801.8,809.8,797.8,LOSS,-5.487
2024-09-05,SBIN.NS,ORB,LONG,804.65,812.68,800.64,LOSS,-5.47
2024-09-09,SBIN.NS,ORB,LONG,771.86,779.56,768.01,LOSS,-5.681
