date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-05,SBIN.NS,VWAP,LONG,822.33,835.88,818.88,WIN,-3.216
2024-07-15,SBIN.NS,VWAP,LONG,843.62,858.89,841.09,WIN,-2.932
2024-07-26,SBIN.NS,VWAP,LONG,828.85,840.03,825.73,WIN,-3.477
2024-08-16,SBIN.NS,VWAP,LONG,787.98,794.06,785.62,WIN,-4.305
2024-09-23,SBIN.NS,VWAP,LONG,771.3,781.43,767.52,WIN,-3.873
2024-10-01,SBIN.NS,VWAP,LONG,773.26,779.45,770.94,WIN,-4.373
2024-10-08,SBIN.NS,VWAP,LONG,757.81,764.03,755.53,WIN,-4.458
2024-10-28,SBIN.NS,VWAP,LONG,769.14,777.57,766.59,WIN,-4.105
2024-10-29,SBIN.NS,VWAP,LONG,781.11,803.22,773.39,WIN,-2.29
2024-11-22,SBIN.NS,VWAP,LONG,771.3,790.8,767.08,WIN,-2.657
2024-11-25,SBIN.NS,VWAP,LONG,811.53,823.37,807.78,WIN,-3.471
2024-12-03,SBIN.NS,VWAP,LONG,822.33,832.44,818.79,WIN,-3.635
2025-01-14,SBIN.NS,VWAP,LONG,719.24,731.35,717.09,WIN,-3.878
2025-01-16,SBIN.NS,VWAP,LONG,746.18,752.69,743.94,WIN,-4.488
2025-01-20,SBIN.NS,VWAP,LONG,754.62,762.06,751.23,WIN,-4.314
2025-02-04,SBIN.NS,VWAP,LONG,752.65,760.1,749.08,WIN,-4.325
2025-02-19,SBIN.NS,VWAP,LONG,708.54,713.74,706.42,WIN,-4.913
2025-02-24,SBIN.NS,VWAP,LONG,697.21,701.46,695.12,WIN,-5.127
2025-03-04,SBIN.NS,VWAP,LONG,680.04,694.91,677.12,WIN,-3.695
2025-03-05,SBIN.NS,VWAP,LONG,704.13,711.92,701.48,WIN,-4.574
2025-03-24,SBIN.NS,VWAP,LONG,743.82,757.74,738.76,WIN,-3.507
2025-04-03,SBIN.NS,VWAP,LONG,755.6,762.64,753.28,WIN,-4.362
2025-04-07,SBIN.NS,VWAP,LONG,716.35,728.9,714.2,WIN,-3.832
2025-04-17,SBIN.NS,VWAP,LONG,757.56,773.01,750.55,WIN,-3.241
2025-04-21,SBIN.NS,VWAP,LONG,787.98,798.12,784.05,WIN,-3.789
2025-04-28,SBIN.NS,VWAP,LONG,783.71,796.52,780.14,WIN,-3.469
2025-05-05,SBIN.NS,VWAP,LONG,767.37,774.78,765.07,WIN,-4.248
2025-05-07,SBIN.NS,VWAP,LONG,750.99,759.11,748.0,WIN,-4.245
2025-05-09,SBIN.NS,VWAP,LONG,742.35,756.95,739.15,WIN,-3.422
2025-07-16,SBIN.NS,VWAP,LONG,816.82,827.07,813.67,WIN,-3.642
2025-08-11,SBIN.NS,VWAP,LONG,808.81,818.82,806.38,WIN,-3.708
2025-09-17,SBIN.NS,VWAP,LONG,835.13,848.77,829.34,WIN,-3.157
2025-10-10,SBIN.NS,VWAP,LONG,862.96,875.23,859.58,WIN,-3.213
2025-10-27,SBIN.NS,VWAP,LONG,907.86,918.92,904.19,WIN,-3.188
2025-11-14,SBIN.NS,VWAP,LONG,953.9,962.97,950.1,WIN,-3.243
2025-12-05,SBIN.NS,VWAP,LONG,949.8,963.83,944.81,WIN,-2.734
2025-12-15,SBIN.NS,VWAP,LONG,958.21,964.45,955.34,WIN,-3.523
2026-01-02,SBIN.NS,VWAP,LONG,985.48,997.47,981.98,WIN,-2.843
2026-01-05,SBIN.NS,VWAP,LONG,1001.0,1007.02,998.0,WIN,-3.395
2026-01-22,SBIN.NS,VWAP,LONG,1036.03,1045.97,1031.98,WIN,-2.902
2026-02-11,SBIN.NS,VWAP,LONG,1145.84,1171.07,1140.51,WIN,-1.29
2026-03-25,SBIN.NS,VWAP,LONG,1044.04,1056.37,1040.91,WIN,-2.651
2026-04-20,SBIN.NS,VWAP,LONG,1081.38,1101.55,1073.7,WIN,-1.834
2026-05-04,SBIN.NS,VWAP,LONG,1064.66,1073.7,1061.47,WIN,-2.908
