date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,SUNPHARMA.NS,MOMENTUM,LONG,1497.89,1558.93,1467.37,PARTIAL,-3.344
2024-06-28,SUNPHARMA.NS,MOMENTUM,LONG,1492.98,1537.8,1470.57,PARTIAL,-2.723
2024-07-01,SUNPHARMA.NS,MOMENTUM,LONG,1493.81,1533.39,1474.03,PARTIAL,-2.827
2024-07-04,SUNPHARMA.NS,MOMENTUM,LONG,1507.71,1555.65,1483.74,PARTIAL,-1.263
2024-07-05,SUNPHARMA.NS,MOMENTUM,LONG,1534.23,1619.07,1491.82,PARTIAL,-2.298
2024-07-08,SUNPHARMA.NS,MOMENTUM,LONG,1542.68,1627.38,1500.33,PARTIAL,-3.596
2024-07-09,SUNPHARMA.NS,MOMENTUM,LONG,1536.98,1601.37,1504.79,PARTIAL,-1.387
2024-07-10,SUNPHARMA.NS,MOMENTUM,LONG,1564.49,1665.39,1514.03,PARTIAL,-2.296
2024-07-11,SUNPHARMA.NS,MOMENTUM,LONG,1572.54,1669.62,1524.0,PARTIAL,-3.845
2024-07-15,SUNPHARMA.NS,MOMENTUM,LONG,1556.79,1605.28,1532.54,PARTIAL,-2.274
2024-07-19,SUNPHARMA.NS,MOMENTUM,LONG,1561.47,1594.74,1544.83,LOSS,-3.627
2024-07-24,SUNPHARMA.NS,MOMENTUM,LONG,1578.51,1632.3,1551.62,PARTIAL,-1.546
2024-07-25,SUNPHARMA.NS,MOMENTUM,LONG,1591.17,1655.2,1559.16,PARTIAL,0.538
2024-07-26,SUNPHARMA.NS,MOMENTUM,LONG,1645.96,1789.29,1574.29,PARTIAL,0.089
2024-07-29,SUNPHARMA.NS,MOMENTUM,LONG,1690.1,1878.49,1595.91,PARTIAL,-2.001
2024-07-30,SUNPHARMA.NS,MOMENTUM,LONG,1690.94,1842.89,1614.97,PARTIAL,-3.31
2024-07-31,SUNPHARMA.NS,MOMENTUM,LONG,1677.14,1779.51,1625.96,PARTIAL,-1.472
2024-08-01,SUNPHARMA.NS,MOMENTUM,LONG,1700.2,1824.11,1638.24,PARTIAL,-3.049
2024-08-06,SUNPHARMA.NS,MOMENTUM,LONG,1699.71,1771.48,1663.83,PARTIAL,-3.464
2024-08-08,SUNPHARMA.NS,MOMENTUM,LONG,1709.56,1781.86,1673.41,PARTIAL,-2.322
2024-08-13,SUNPHARMA.NS,MOMENTUM,LONG,1714.49,1767.87,1687.8,PARTIAL,-2.427
2024-08-21,SUNPHARMA.NS,MOMENTUM,LONG,1744.05,1816.04,1708.05,PARTIAL,-2.695
2024-08-22,SUNPHARMA.NS,MOMENTUM,LONG,1743.56,1805.05,1712.81,PARTIAL,-3.458
2024-08-26,SUNPHARMA.NS,MOMENTUM,LONG,1753.9,1822.43,1719.64,PARTIAL,-2.804
2024-08-28,SUNPHARMA.NS,MOMENTUM,LONG,1770.55,1851.45,1730.11,PARTIAL,-1.528
2024-08-29,SUNPHARMA.NS,MOMENTUM,LONG,1783.36,1870.66,1739.72,PARTIAL,-2.933
2024-08-30,SUNPHARMA.NS,MOMENTUM,LONG,1771.79,1825.52,1744.92,PARTIAL,-1.052
