date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-28,SUNPHARMA.NS,ORB,LONG,1495.97,1510.89,1488.51,LOSS,-3.173
2024-07-01,SUNPHARMA.NS,ORB,LONG,1496.8,1511.73,1489.34,LOSS,-3.171
2024-07-02,SUNPHARMA.NS,ORB,LONG,1490.06,1504.92,1482.63,WIN,-1.687
2024-07-03,SUNPHARMA.NS,ORB,LONG,1495.33,1510.24,1487.87,LOSS,-3.174
2024-07-04,SUNPHARMA.NS,ORB,LONG,1510.73,1525.8,1503.19,WIN,-1.65
2024-07-05,SUNPHARMA.NS,ORB,LONG,1537.3,1552.63,1529.64,LOSS,-3.101
2024-07-09,SUNPHARMA.NS,ORB,LONG,1540.06,1555.42,1532.38,WIN,-1.6
2024-07-10,SUNPHARMA.NS,ORB,LONG,1567.61,1583.25,1559.8,LOSS,-3.05
2024-07-12,SUNPHARMA.NS,ORB,LONG,1561.92,1577.5,1554.13,LOSS,-3.06
2024-07-15,SUNPHARMA.NS,ORB,LONG,1559.9,1575.46,1552.12,PARTIAL,-2.469
2024-07-16,SUNPHARMA.NS,ORB,LONG,1568.83,1584.48,1561.01,LOSS,-3.048
2024-07-18,SUNPHARMA.NS,ORB,LONG,1555.01,1570.52,1547.26,WIN,-1.575
2024-07-19,SUNPHARMA.NS,ORB,LONG,1564.59,1580.19,1556.79,LOSS,-3.055
2024-07-22,SUNPHARMA.NS,ORB,LONG,1535.31,1550.63,1527.66,WIN,-1.608
2024-07-23,SUNPHARMA.NS,ORB,LONG,1566.86,1582.49,1559.05,LOSS,-3.052
2024-07-24,SUNPHARMA.NS,ORB,LONG,1581.67,1597.44,1573.78,WIN,-1.532
2024-07-25,SUNPHARMA.NS,ORB,LONG,1594.36,1610.26,1586.4,WIN,-1.511
2024-07-26,SUNPHARMA.NS,ORB,LONG,1649.25,1665.7,1641.03,WIN,-1.428
2024-07-29,SUNPHARMA.NS,ORB,LONG,1693.48,1710.37,1685.04,LOSS,-2.861
2024-07-30,SUNPHARMA.NS,ORB,LONG,1694.32,1711.22,1685.87,LOSS,-2.86
2024-07-31,SUNPHARMA.NS,ORB,LONG,1680.5,1697.26,1672.12,WIN,-1.383
