date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-22,SUNPHARMA.NS,VWAP,LONG,1532.25,1552.62,1527.66,WIN,-1.281
2024-07-26,SUNPHARMA.NS,VWAP,LONG,1645.96,1674.4,1635.67,WIN,-0.702
2024-09-27,SUNPHARMA.NS,VWAP,LONG,1889.83,1910.71,1881.51,WIN,-1.012
2024-10-09,SUNPHARMA.NS,VWAP,LONG,1866.77,1894.01,1861.13,WIN,-0.684
2024-10-24,SUNPHARMA.NS,VWAP,LONG,1803.17,1817.08,1797.22,WIN,-1.447
2024-11-19,SUNPHARMA.NS,VWAP,LONG,1704.68,1743.62,1699.53,WIN,-0.063
2024-11-29,SUNPHARMA.NS,VWAP,LONG,1717.35,1744.24,1708.56,WIN,-0.763
2025-01-23,SUNPHARMA.NS,VWAP,LONG,1761.88,1791.33,1754.59,WIN,-0.599
2025-02-13,SUNPHARMA.NS,VWAP,LONG,1685.17,1716.18,1680.07,WIN,-0.533
2025-04-03,SUNPHARMA.NS,VWAP,LONG,1739.69,1760.3,1729.53,WIN,-1.115
2025-04-07,SUNPHARMA.NS,VWAP,LONG,1605.97,1643.36,1601.15,WIN,-0.162
2025-04-08,SUNPHARMA.NS,VWAP,LONG,1630.65,1664.74,1625.76,WIN,-0.363
2025-04-17,SUNPHARMA.NS,VWAP,LONG,1680.21,1715.47,1667.67,WIN,-0.282
2025-04-28,SUNPHARMA.NS,VWAP,LONG,1771.81,1805.23,1760.37,WIN,-0.371
2025-06-05,SUNPHARMA.NS,VWAP,LONG,1647.5,1663.48,1642.56,WIN,-1.458
2025-07-02,SUNPHARMA.NS,VWAP,LONG,1641.55,1655.59,1636.63,WIN,-1.581
2025-08-11,SUNPHARMA.NS,VWAP,LONG,1578.24,1607.09,1570.83,WIN,-0.706
2025-09-29,SUNPHARMA.NS,VWAP,LONG,1572.37,1585.77,1566.66,WIN,-1.692
2025-10-01,SUNPHARMA.NS,VWAP,LONG,1603.1,1622.66,1598.29,WIN,-1.275
2025-10-03,SUNPHARMA.NS,VWAP,LONG,1591.26,1615.08,1586.49,WIN,-1.017
2025-10-17,SUNPHARMA.NS,VWAP,LONG,1649.15,1665.12,1642.72,WIN,-1.457
2025-10-29,SUNPHARMA.NS,VWAP,LONG,1680.77,1697.37,1673.06,WIN,-1.392
2025-11-26,SUNPHARMA.NS,VWAP,LONG,1765.81,1783.55,1758.63,WIN,-1.26
2025-12-11,SUNPHARMA.NS,VWAP,LONG,1768.29,1786.0,1760.12,WIN,-1.261
2025-12-22,SUNPHARMA.NS,VWAP,LONG,1735.37,1750.66,1728.39,WIN,-1.424
2026-01-06,SUNPHARMA.NS,VWAP,LONG,1716.28,1738.21,1711.13,WIN,-1.053
2026-01-22,SUNPHARMA.NS,VWAP,LONG,1605.29,1620.77,1599.58,WIN,-1.527
2026-03-02,SUNPHARMA.NS,VWAP,LONG,1713.71,1741.47,1708.58,WIN,-0.715
2026-03-04,SUNPHARMA.NS,VWAP,LONG,1722.92,1742.9,1717.56,WIN,-1.162
2026-03-05,SUNPHARMA.NS,VWAP,LONG,1751.75,1775.8,1744.5,WIN,-0.911
2026-03-09,SUNPHARMA.NS,VWAP,LONG,1774.67,1797.47,1766.46,WIN,-0.97
2026-03-20,SUNPHARMA.NS,VWAP,LONG,1756.86,1770.9,1750.79,WIN,-1.477
2026-03-27,SUNPHARMA.NS,VWAP,LONG,1786.78,1799.2,1781.43,WIN,-1.544
2026-04-09,SUNPHARMA.NS,VWAP,LONG,1704.4,1716.9,1699.29,WIN,-1.614
2026-04-27,SUNPHARMA.NS,VWAP,LONG,1626.62,1707.43,1618.66,WIN,2.509
2026-05-08,SUNPHARMA.NS,VWAP,LONG,1823.82,1841.53,1815.56,WIN,-1.222
2026-05-11,SUNPHARMA.NS,VWAP,LONG,1829.03,1861.17,1821.35,WIN,-0.43
