date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-03,TATACONSUM.NS,MOMENTUM,LONG,1106.91,1146.07,1087.33,PARTIAL,-0.813
2024-07-04,TATACONSUM.NS,MOMENTUM,LONG,1140.25,1227.21,1096.77,PARTIAL,-4.683
2024-07-05,TATACONSUM.NS,MOMENTUM,LONG,1128.17,1180.3,1102.11,PARTIAL,-3.469
2024-07-08,TATACONSUM.NS,MOMENTUM,LONG,1130.76,1178.64,1106.82,PARTIAL,-2.514
2024-07-09,TATACONSUM.NS,MOMENTUM,LONG,1154.01,1235.55,1113.24,PARTIAL,-5.218
2024-07-11,TATACONSUM.NS,MOMENTUM,LONG,1143.23,1187.45,1121.12,LOSS,-5.433
2024-07-18,TATACONSUM.NS,MOMENTUM,LONG,1153.19,1190.45,1134.56,PARTIAL,-2.004
2024-07-19,TATACONSUM.NS,MOMENTUM,LONG,1177.72,1251.25,1140.96,PARTIAL,-4.495
2024-07-22,TATACONSUM.NS,MOMENTUM,LONG,1163.0,1198.95,1145.03,PARTIAL,-1.87
2024-07-23,TATACONSUM.NS,MOMENTUM,LONG,1192.45,1274.21,1151.56,PARTIAL,-0.009
2024-07-24,TATACONSUM.NS,MOMENTUM,LONG,1233.67,1367.04,1166.98,PARTIAL,-5.389
2024-07-25,TATACONSUM.NS,MOMENTUM,LONG,1209.13,1278.8,1174.3,PARTIAL,-4.089
2024-07-26,TATACONSUM.NS,MOMENTUM,LONG,1208.31,1267.62,1178.65,PARTIAL,-3.607
2024-07-29,TATACONSUM.NS,MOMENTUM,LONG,1207.27,1255.51,1183.15,LOSS,-5.311
2024-08-23,TATACONSUM.NS,MOMENTUM,LONG,1204.29,1268.12,1172.37,PARTIAL,-4.674
2024-08-26,TATACONSUM.NS,MOMENTUM,LONG,1197.33,1242.43,1174.78,PARTIAL,-2.193
2024-08-27,TATACONSUM.NS,MOMENTUM,LONG,1212.24,1274.08,1181.31,PARTIAL,-4.251
2024-08-28,TATACONSUM.NS,MOMENTUM,LONG,1202.3,1237.96,1184.47,PARTIAL,-4.158
2024-09-12,TATACONSUM.NS,MOMENTUM,LONG,1202.3,1239.14,1183.88,PARTIAL,-2.374
2024-09-13,TATACONSUM.NS,MOMENTUM,LONG,1218.2,1276.34,1189.12,PARTIAL,-4.663
2024-09-16,TATACONSUM.NS,MOMENTUM,LONG,1212.24,1254.99,1190.86,PARTIAL,-3.522
2024-09-17,TATACONSUM.NS,MOMENTUM,LONG,1215.22,1257.91,1193.87,PARTIAL,-3.616
2024-09-18,TATACONSUM.NS,MOMENTUM,LONG,1212.48,1244.21,1196.62,LOSS,-4.607
2024-10-31,TATACONSUM.NS,MOMENTUM,LONG,1018.48,1040.97,1007.23,LOSS,-5.032
