date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,TATACONSUM.NS,ORB,LONG,1085.33,1096.15,1079.92,LOSS,-4.184
2024-06-28,TATACONSUM.NS,ORB,LONG,1080.85,1091.63,1075.46,WIN,-2.703
2024-07-01,TATACONSUM.NS,ORB,LONG,1085.33,1096.15,1079.92,PARTIAL,-3.578
2024-07-02,TATACONSUM.NS,ORB,LONG,1091.2,1102.09,1085.76,LOSS,-4.164
2024-07-03,TATACONSUM.NS,ORB,LONG,1109.12,1120.19,1103.59,WIN,-2.609
2024-07-04,TATACONSUM.NS,ORB,LONG,1142.53,1153.92,1136.83,LOSS,-4.0
2024-07-05,TATACONSUM.NS,ORB,LONG,1130.43,1141.71,1124.79,WIN,-2.541
2024-07-08,TATACONSUM.NS,ORB,LONG,1133.02,1144.32,1127.37,WIN,-2.533
2024-07-09,TATACONSUM.NS,ORB,LONG,1156.32,1167.85,1150.55,LOSS,-3.958
2024-07-10,TATACONSUM.NS,ORB,LONG,1137.2,1148.54,1131.53,LOSS,-4.016
2024-07-12,TATACONSUM.NS,ORB,LONG,1130.03,1141.3,1124.4,WIN,-2.542
2024-07-15,TATACONSUM.NS,ORB,LONG,1147.46,1158.9,1141.73,LOSS,-3.985
2024-07-16,TATACONSUM.NS,ORB,LONG,1143.77,1155.18,1138.07,WIN,-2.5
2024-07-18,TATACONSUM.NS,ORB,LONG,1155.49,1167.02,1149.73,WIN,-2.464
2024-07-22,TATACONSUM.NS,ORB,LONG,1165.33,1176.95,1159.52,WIN,-2.435
2024-07-23,TATACONSUM.NS,ORB,LONG,1194.83,1206.75,1188.87,WIN,-2.35
2024-07-29,TATACONSUM.NS,ORB,LONG,1209.68,1221.75,1203.65,LOSS,-3.805
2024-07-30,TATACONSUM.NS,ORB,LONG,1200.72,1212.7,1194.73,LOSS,-3.83
2024-08-01,TATACONSUM.NS,ORB,LONG,1183.75,1195.55,1177.84,WIN,-2.382
2024-08-02,TATACONSUM.NS,ORB,LONG,1194.75,1206.66,1188.79,WIN,-2.351
2024-08-05,TATACONSUM.NS,ORB,LONG,1170.85,1182.53,1165.01,WIN,-2.419
2024-08-06,TATACONSUM.NS,ORB,LONG,1194.75,1206.66,1188.79,LOSS,-3.847
2024-08-07,TATACONSUM.NS,ORB,LONG,1177.37,1189.12,1171.5,WIN,-2.4
2024-08-12,TATACONSUM.NS,ORB,LONG,1170.85,1182.53,1165.01,LOSS,-3.915
2024-08-13,TATACONSUM.NS,ORB,LONG,1167.57,1179.21,1161.74,LOSS,-3.925
2024-08-16,TATACONSUM.NS,ORB,LONG,1162.89,1174.49,1157.09,WIN,-2.442
2024-08-21,TATACONSUM.NS,ORB,LONG,1166.82,1178.46,1161.0,LOSS,-3.927
2024-08-22,TATACONSUM.NS,ORB,LONG,1178.87,1190.63,1172.99,WIN,-2.396
2024-08-26,TATACONSUM.NS,ORB,LONG,1199.73,1211.69,1193.74,WIN,-2.337
2024-08-28,TATACONSUM.NS,ORB,LONG,1204.7,1216.72,1198.7,LOSS,-3.819
2024-08-29,TATACONSUM.NS,ORB,LONG,1195.89,1207.82,1189.93,LOSS,-3.843
2024-08-30,TATACONSUM.NS,ORB,LONG,1189.77,1201.64,1183.84,PARTIAL,-3.232
2024-09-02,TATACONSUM.NS,ORB,LONG,1194.75,1206.66,1188.79,WIN,-2.351
2024-09-03,TATACONSUM.NS,ORB,LONG,1203.71,1215.71,1197.71,LOSS,-3.822
2024-09-05,TATACONSUM.NS,ORB,LONG,1194.25,1206.16,1188.29,LOSS,-3.848
