date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-28,TATACONSUM.NS,VWAP,LONG,1078.69,1087.42,1074.86,WIN,-2.899
2024-07-03,TATACONSUM.NS,VWAP,LONG,1106.91,1127.31,1101.66,WIN,-1.771
2024-07-08,TATACONSUM.NS,VWAP,LONG,1130.76,1141.8,1125.39,WIN,-2.561
2024-07-22,TATACONSUM.NS,VWAP,LONG,1163.0,1175.88,1156.83,WIN,-2.332
2024-08-01,TATACONSUM.NS,VWAP,LONG,1181.38,1195.26,1176.9,WIN,-2.211
2024-08-07,TATACONSUM.NS,VWAP,LONG,1175.02,1187.83,1171.5,WIN,-2.314
2024-08-16,TATACONSUM.NS,VWAP,LONG,1160.57,1173.44,1157.09,WIN,-2.338
2024-08-22,TATACONSUM.NS,VWAP,LONG,1176.51,1190.06,1169.97,WIN,-2.248
2024-10-30,TATACONSUM.NS,VWAP,LONG,984.94,1005.17,978.92,WIN,-2.008
2024-11-05,TATACONSUM.NS,VWAP,LONG,978.83,992.3,975.9,WIN,-2.711
2024-11-22,TATACONSUM.NS,VWAP,LONG,910.42,928.63,904.32,WIN,-2.393
2024-11-29,TATACONSUM.NS,VWAP,LONG,935.81,947.83,932.7,WIN,-2.99
2025-01-13,TATACONSUM.NS,VWAP,LONG,939.18,952.77,936.17,WIN,-2.812
2025-01-31,TATACONSUM.NS,VWAP,LONG,963.83,1000.5,958.86,WIN,-0.345
2025-02-24,TATACONSUM.NS,VWAP,LONG,983.7,993.8,980.75,WIN,-3.039
2025-02-25,TATACONSUM.NS,VWAP,LONG,987.67,995.29,983.87,WIN,-3.279
2025-03-05,TATACONSUM.NS,VWAP,LONG,942.46,949.88,939.14,WIN,-3.458
2025-03-28,TATACONSUM.NS,VWAP,LONG,969.29,989.96,965.89,WIN,-1.994
2025-04-02,TATACONSUM.NS,VWAP,LONG,1011.52,1042.56,1005.52,WIN,-0.886
2025-04-03,TATACONSUM.NS,VWAP,LONG,1043.22,1056.95,1038.31,WIN,-2.518
2025-04-04,TATACONSUM.NS,VWAP,LONG,1058.67,1074.14,1052.97,WIN,-2.317
2025-04-07,TATACONSUM.NS,VWAP,LONG,1012.51,1040.31,1009.48,WIN,-1.206
2025-04-09,TATACONSUM.NS,VWAP,LONG,1055.24,1072.96,1050.15,WIN,-2.111
2025-05-12,TATACONSUM.NS,VWAP,LONG,1115.85,1132.8,1112.51,WIN,-2.066
2025-05-26,TATACONSUM.NS,VWAP,LONG,1129.76,1137.14,1126.38,WIN,-2.888
2025-06-02,TATACONSUM.NS,VWAP,LONG,1101.1,1114.87,1097.0,WIN,-2.382
2025-06-04,TATACONSUM.NS,VWAP,LONG,1111.11,1120.1,1107.78,WIN,-2.791
