date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-01,TATAPOWER.NS,MOMENTUM,LONG,436.84,444.49,433.01,LOSS,-10.033
2024-07-08,TATAPOWER.NS,MOMENTUM,LONG,438.56,451.71,431.98,LOSS,-10.621
2024-07-10,TATAPOWER.NS,MOMENTUM,LONG,437.81,448.99,432.22,LOSS,-10.413
2024-07-26,TATAPOWER.NS,MOMENTUM,LONG,429.9,446.69,421.51,PARTIAL,-6.467
2024-07-29,TATAPOWER.NS,MOMENTUM,LONG,444.78,483.62,425.36,PARTIAL,-10.144
2024-07-30,TATAPOWER.NS,MOMENTUM,LONG,440.1,464.39,427.96,PARTIAL,-8.771
2024-07-31,TATAPOWER.NS,MOMENTUM,LONG,444.23,471.89,430.4,PARTIAL,-7.493
2024-08-01,TATAPOWER.NS,MOMENTUM,LONG,452.74,489.74,434.24,PARTIAL,-6.86
2024-08-02,TATAPOWER.NS,MOMENTUM,LONG,458.06,495.29,439.45,PARTIAL,-8.821
2024-08-21,TATAPOWER.NS,MOMENTUM,LONG,425.22,442.92,416.38,PARTIAL,-10.161
2024-08-22,TATAPOWER.NS,MOMENTUM,LONG,423.73,436.69,417.25,PARTIAL,-10.208
2024-08-23,TATAPOWER.NS,MOMENTUM,LONG,420.55,426.35,417.64,LOSS,-10.202
2024-08-29,TATAPOWER.NS,MOMENTUM,LONG,429.3,446.9,420.51,PARTIAL,-9.533
2024-08-30,TATAPOWER.NS,MOMENTUM,LONG,430.3,447.25,421.82,PARTIAL,-8.876
2024-09-02,TATAPOWER.NS,MOMENTUM,LONG,433.73,453.96,423.62,PARTIAL,-9.93
2024-09-03,TATAPOWER.NS,MOMENTUM,LONG,431.39,444.64,424.77,PARTIAL,-9.268
2024-09-11,TATAPOWER.NS,MOMENTUM,LONG,443.73,483.43,423.89,PARTIAL,-11.411
2024-09-12,TATAPOWER.NS,MOMENTUM,LONG,436.42,458.32,425.47,PARTIAL,-8.958
2024-09-13,TATAPOWER.NS,MOMENTUM,LONG,443.83,476.34,427.58,PARTIAL,-10.053
2024-09-16,TATAPOWER.NS,MOMENTUM,LONG,441.35,464.75,429.64,PARTIAL,-9.197
2024-09-18,TATAPOWER.NS,MOMENTUM,LONG,443.34,462.98,433.51,PARTIAL,-10.221
2024-09-24,TATAPOWER.NS,MOMENTUM,LONG,453.34,482.85,438.58,PARTIAL,-6.029
2024-09-25,TATAPOWER.NS,MOMENTUM,LONG,466.47,511.85,443.79,PARTIAL,-8.813
2024-09-26,TATAPOWER.NS,MOMENTUM,LONG,467.72,507.51,447.82,PARTIAL,-7.366
2024-09-27,TATAPOWER.NS,MOMENTUM,LONG,480.16,535.22,452.63,PARTIAL,-7.809
2024-09-30,TATAPOWER.NS,MOMENTUM,LONG,483.04,532.44,458.34,PARTIAL,-8.957
2024-10-01,TATAPOWER.NS,MOMENTUM,LONG,484.44,528.62,462.34,PARTIAL,-9.496
2024-10-14,TATAPOWER.NS,MOMENTUM,LONG,461.55,467.96,458.34,LOSS,-9.362
2024-10-15,TATAPOWER.NS,MOMENTUM,LONG,461.25,467.12,458.31,WIN,-7.4
2024-11-01,TATAPOWER.NS,MOMENTUM,LONG,441.84,461.91,431.81,PARTIAL,-8.827
2024-11-04,TATAPOWER.NS,MOMENTUM,LONG,444.08,464.75,433.75,LOSS,-11.334
2024-11-06,TATAPOWER.NS,MOMENTUM,LONG,434.98,441.54,431.69,WIN,-7.686
2024-11-07,TATAPOWER.NS,MOMENTUM,LONG,449.31,479.08,434.42,PARTIAL,-10.463
2024-11-22,TATAPOWER.NS,MOMENTUM,LONG,412.88,416.92,410.87,LOSS,-10.177
2024-11-25,TATAPOWER.NS,MOMENTUM,LONG,419.4,436.78,410.71,LOSS,-11.609
2024-11-28,TATAPOWER.NS,MOMENTUM,LONG,416.32,428.03,410.46,LOSS,-11.015
2024-12-03,TATAPOWER.NS,MOMENTUM,LONG,416.37,427.13,410.99,WIN,-7.022
2024-12-04,TATAPOWER.NS,MOMENTUM,LONG,426.47,451.92,413.74,PARTIAL,-10.155
2024-12-05,TATAPOWER.NS,MOMENTUM,LONG,423.58,440.01,415.37,PARTIAL,-8.323
2024-12-06,TATAPOWER.NS,MOMENTUM,LONG,431.69,459.67,417.71,PARTIAL,-8.007
2024-12-09,TATAPOWER.NS,MOMENTUM,LONG,440.85,479.89,421.33,PARTIAL,-9.681
2024-12-10,TATAPOWER.NS,MOMENTUM,LONG,439.8,470.54,424.43,PARTIAL,-10.721
2024-12-11,TATAPOWER.NS,MOMENTUM,LONG,433.48,448.82,425.82,PARTIAL,-9.511
2025-01-17,TATAPOWER.NS,MOMENTUM,LONG,366.66,371.06,364.46,WIN,-9.71
2025-01-20,TATAPOWER.NS,MOMENTUM,LONG,373.03,387.83,365.63,PARTIAL,-10.93
2025-01-21,TATAPOWER.NS,MOMENTUM,LONG,372.63,384.43,366.73,LOSS,-12.318
