date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,TATAPOWER.NS,ORB,LONG,428.97,433.25,426.84,WIN,-8.327
2024-06-28,TATAPOWER.NS,ORB,LONG,436.17,440.52,434.0,LOSS,-9.669
2024-07-03,TATAPOWER.NS,ORB,LONG,430.22,434.51,428.07,LOSS,-9.796
2024-07-04,TATAPOWER.NS,ORB,LONG,432.71,437.02,430.55,WIN,-8.247
2024-07-05,TATAPOWER.NS,ORB,LONG,435.2,439.54,433.03,LOSS,-9.69
2024-07-08,TATAPOWER.NS,ORB,LONG,439.44,443.82,437.25,LOSS,-9.601
2024-07-09,TATAPOWER.NS,ORB,LONG,436.25,440.6,434.07,LOSS,-9.668
2024-07-10,TATAPOWER.NS,ORB,LONG,438.69,443.06,436.5,LOSS,-9.617
2024-07-11,TATAPOWER.NS,ORB,LONG,437.69,442.06,435.51,LOSS,-9.638
2024-07-15,TATAPOWER.NS,ORB,LONG,435.15,439.49,432.98,WIN,-8.195
2024-07-16,TATAPOWER.NS,ORB,LONG,439.14,443.52,436.95,LOSS,-9.607
2024-07-22,TATAPOWER.NS,ORB,LONG,413.81,417.94,411.75,WIN,-8.669
2024-07-24,TATAPOWER.NS,ORB,LONG,415.26,419.4,413.19,WIN,-8.635
2024-07-25,TATAPOWER.NS,ORB,LONG,415.16,419.3,413.09,WIN,-8.638
2024-07-26,TATAPOWER.NS,ORB,LONG,430.76,435.06,428.61,WIN,-8.288
2024-07-29,TATAPOWER.NS,ORB,LONG,445.67,450.11,443.45,LOSS,-9.474
2024-07-30,TATAPOWER.NS,ORB,LONG,440.98,445.38,438.78,WIN,-8.073
2024-07-31,TATAPOWER.NS,ORB,LONG,445.12,449.56,442.9,WIN,-7.989
2024-08-01,TATAPOWER.NS,ORB,LONG,453.65,458.17,451.38,WIN,-7.82
2024-08-02,TATAPOWER.NS,ORB,LONG,458.98,463.56,456.69,WIN,-7.718
2024-08-05,TATAPOWER.NS,ORB,LONG,444.72,449.16,442.5,WIN,-7.997
2024-08-06,TATAPOWER.NS,ORB,LONG,436.74,441.1,434.57,WIN,-8.161
2024-08-12,TATAPOWER.NS,ORB,LONG,415.9,420.05,413.83,WIN,-8.62
2024-08-14,TATAPOWER.NS,ORB,LONG,408.82,412.9,406.79,LOSS,-10.283
2024-08-16,TATAPOWER.NS,ORB,LONG,407.73,411.79,405.69,WIN,-8.813
2024-08-19,TATAPOWER.NS,ORB,LONG,415.51,419.65,413.43,LOSS,-10.126
2024-08-20,TATAPOWER.NS,ORB,LONG,416.95,421.11,414.87,WIN,-8.596
2024-08-26,TATAPOWER.NS,ORB,LONG,418.8,422.97,416.71,LOSS,-10.05
2024-08-27,TATAPOWER.NS,ORB,LONG,421.29,425.49,419.19,WIN,-8.497
2024-08-28,TATAPOWER.NS,ORB,LONG,428.77,433.04,426.63,LOSS,-9.828
2024-08-29,TATAPOWER.NS,ORB,LONG,430.16,434.45,428.02,LOSS,-9.797
2024-08-30,TATAPOWER.NS,ORB,LONG,431.16,435.46,429.01,LOSS,-9.776
2024-09-05,TATAPOWER.NS,ORB,LONG,419.89,424.08,417.8,LOSS,-10.025
2024-09-06,TATAPOWER.NS,ORB,LONG,418.8,422.97,416.71,LOSS,-10.05
2024-09-09,TATAPOWER.NS,ORB,LONG,415.8,419.95,413.73,LOSS,-10.119
2024-09-10,TATAPOWER.NS,ORB,LONG,421.19,425.39,419.09,WIN,-8.5
2024-09-11,TATAPOWER.NS,ORB,LONG,444.62,449.06,442.4,LOSS,-9.495
2024-09-12,TATAPOWER.NS,ORB,LONG,437.29,441.65,435.11,LOSS,-9.646
2024-09-13,TATAPOWER.NS,ORB,LONG,444.72,449.16,442.5,LOSS,-9.493
2024-09-16,TATAPOWER.NS,ORB,LONG,442.23,446.64,440.02,WIN,-8.048
2024-09-17,TATAPOWER.NS,ORB,LONG,442.08,446.49,439.87,WIN,-8.051
2024-09-18,TATAPOWER.NS,ORB,LONG,444.22,448.65,442.01,LOSS,-9.503
2024-09-19,TATAPOWER.NS,ORB,LONG,441.43,445.83,439.23,WIN,-8.064
2024-09-20,TATAPOWER.NS,ORB,LONG,440.53,444.93,438.34,LOSS,-9.579
2024-09-23,TATAPOWER.NS,ORB,LONG,443.67,448.1,441.46,WIN,-8.018
2024-09-24,TATAPOWER.NS,ORB,LONG,454.24,458.77,451.98,WIN,-7.808
2024-09-25,TATAPOWER.NS,ORB,LONG,467.41,472.07,465.08,LOSS,-9.057
2024-09-26,TATAPOWER.NS,ORB,LONG,468.65,473.33,466.32,WIN,-7.538
2024-09-27,TATAPOWER.NS,ORB,LONG,481.12,485.92,478.72,WIN,-7.317
2024-09-30,TATAPOWER.NS,ORB,LONG,484.01,488.84,481.59,LOSS,-8.763
2024-10-01,TATAPOWER.NS,ORB,LONG,485.4,490.25,482.98,LOSS,-8.739
2024-10-03,TATAPOWER.NS,ORB,LONG,467.71,472.37,465.37,WIN,-7.555
2024-10-04,TATAPOWER.NS,ORB,LONG,470.15,474.84,467.8,LOSS,-9.007
2024-10-08,TATAPOWER.NS,ORB,LONG,440.33,444.73,438.14,WIN,-8.087
2024-10-09,TATAPOWER.NS,ORB,LONG,458.63,463.21,456.34,WIN,-7.724
2024-10-10,TATAPOWER.NS,ORB,LONG,458.68,463.26,456.39,WIN,-7.723
2024-10-11,TATAPOWER.NS,ORB,LONG,464.32,468.95,462.0,LOSS,-9.114
2024-10-15,TATAPOWER.NS,ORB,LONG,462.17,466.78,459.87,WIN,-7.657
2024-10-16,TATAPOWER.NS,ORB,LONG,461.92,466.53,459.62,WIN,-7.662
2024-10-17,TATAPOWER.NS,ORB,LONG,459.68,464.26,457.39,LOSS,-9.2
2024-10-18,TATAPOWER.NS,ORB,LONG,448.61,453.08,446.37,WIN,-7.919
2024-10-21,TATAPOWER.NS,ORB,LONG,454.24,458.77,451.98,WIN,-7.808
2024-10-23,TATAPOWER.NS,ORB,LONG,435.25,439.59,433.08,WIN,-8.193
2024-10-24,TATAPOWER.NS,ORB,LONG,435.85,440.19,433.67,LOSS,-9.676
2024-10-28,TATAPOWER.NS,ORB,LONG,422.29,426.5,420.18,WIN,-8.475
