date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-26,TATAPOWER.NS,VWAP,LONG,429.9,437.77,426.78,WIN,-7.473
2024-08-01,TATAPOWER.NS,VWAP,LONG,452.74,458.73,450.49,WIN,-7.511
2024-09-10,TATAPOWER.NS,VWAP,LONG,420.35,435.11,417.2,WIN,-6.005
2024-09-23,TATAPOWER.NS,VWAP,LONG,442.79,450.33,441.02,WIN,-7.33
2024-09-24,TATAPOWER.NS,VWAP,LONG,453.34,462.73,449.8,WIN,-6.752
2024-10-08,TATAPOWER.NS,VWAP,LONG,439.46,449.84,436.15,WIN,-6.74
2024-11-06,TATAPOWER.NS,VWAP,LONG,434.98,443.32,433.08,WIN,-7.277
2024-11-19,TATAPOWER.NS,VWAP,LONG,404.28,408.31,403.07,WIN,-8.896
2024-12-03,TATAPOWER.NS,VWAP,LONG,416.37,422.86,414.33,WIN,-8.047
2024-12-06,TATAPOWER.NS,VWAP,LONG,431.69,435.92,429.85,WIN,-8.287
2025-01-14,TATAPOWER.NS,VWAP,LONG,339.34,349.97,338.33,WIN,-8.655
2025-02-19,TATAPOWER.NS,VWAP,LONG,335.36,342.1,332.08,WIN,-9.918
2025-03-05,TATAPOWER.NS,VWAP,LONG,343.32,347.49,341.85,WIN,-10.438
2025-03-19,TATAPOWER.NS,VWAP,LONG,362.13,367.09,360.15,WIN,-9.677
2025-03-21,TATAPOWER.NS,VWAP,LONG,368.55,375.01,367.35,WIN,-9.101
2025-04-03,TATAPOWER.NS,VWAP,LONG,372.18,379.93,370.62,WIN,-8.666
2025-04-07,TATAPOWER.NS,VWAP,LONG,335.36,347.47,332.37,WIN,-8.317
2025-04-21,TATAPOWER.NS,VWAP,LONG,381.24,386.67,379.01,WIN,-9.067
2025-04-28,TATAPOWER.NS,VWAP,LONG,384.27,391.58,383.12,WIN,-8.508
2025-05-07,TATAPOWER.NS,VWAP,LONG,364.22,372.54,363.13,WIN,-8.698
2025-05-09,TATAPOWER.NS,VWAP,LONG,356.41,364.62,354.45,WIN,-8.919
2025-05-14,TATAPOWER.NS,VWAP,LONG,388.6,393.07,387.24,WIN,-9.144
2025-05-16,TATAPOWER.NS,VWAP,LONG,396.02,402.05,394.53,WIN,-8.577
2025-06-06,TATAPOWER.NS,VWAP,LONG,390.2,395.16,389.03,WIN,-8.98
2025-06-09,TATAPOWER.NS,VWAP,LONG,398.46,402.2,396.86,WIN,-9.099
2025-06-23,TATAPOWER.NS,VWAP,LONG,385.38,390.7,383.78,WIN,-9.0
2025-06-24,TATAPOWER.NS,VWAP,LONG,395.39,399.03,394.06,WIN,-9.196
2025-07-16,TATAPOWER.NS,VWAP,LONG,403.45,411.32,401.69,WIN,-7.965
2025-07-28,TATAPOWER.NS,VWAP,LONG,394.49,398.83,392.71,WIN,-9.04
2025-09-01,TATAPOWER.NS,VWAP,LONG,374.52,378.57,373.4,WIN,-9.601
2025-09-16,TATAPOWER.NS,VWAP,LONG,388.39,394.62,387.22,WIN,-8.695
2025-10-15,TATAPOWER.NS,VWAP,LONG,391.94,395.03,390.52,WIN,-9.417
2025-10-29,TATAPOWER.NS,VWAP,LONG,399.4,407.27,397.9,WIN,-8.045
2025-11-17,TATAPOWER.NS,VWAP,LONG,388.89,391.55,387.72,WIN,-9.601
2025-11-26,TATAPOWER.NS,VWAP,LONG,380.88,387.93,379.54,WIN,-8.65
2025-12-31,TATAPOWER.NS,VWAP,LONG,375.37,378.38,374.05,WIN,-9.855
2026-01-02,TATAPOWER.NS,VWAP,LONG,382.23,389.33,380.49,WIN,-8.607
2026-01-28,TATAPOWER.NS,VWAP,LONG,349.35,353.22,348.0,WIN,-10.343
2026-01-29,TATAPOWER.NS,VWAP,LONG,357.76,363.48,355.79,WIN,-9.58
2026-02-16,TATAPOWER.NS,VWAP,LONG,372.37,379.08,370.16,WIN,-8.94
2026-02-20,TATAPOWER.NS,VWAP,LONG,369.67,375.48,368.51,WIN,-9.248
2026-03-02,TATAPOWER.NS,VWAP,LONG,356.36,366.1,355.29,WIN,-8.49
2026-03-04,TATAPOWER.NS,VWAP,LONG,362.66,365.95,361.38,WIN,-10.123
2026-03-05,TATAPOWER.NS,VWAP,LONG,366.62,373.87,365.52,WIN,-8.933
2026-03-10,TATAPOWER.NS,VWAP,LONG,376.28,380.45,375.15,WIN,-9.521
2026-03-12,TATAPOWER.NS,VWAP,LONG,384.38,397.65,382.68,WIN,-6.955
2026-03-17,TATAPOWER.NS,VWAP,LONG,391.39,398.05,390.22,WIN,-8.519
2026-03-20,TATAPOWER.NS,VWAP,LONG,402.4,407.28,400.2,WIN,-8.727
2026-04-27,TATAPOWER.NS,VWAP,LONG,437.04,448.12,434.33,WIN,-6.617
2026-04-28,TATAPOWER.NS,VWAP,LONG,454.45,460.23,453.09,WIN,-7.53
2026-05-13,TATAPOWER.NS,VWAP,LONG,391.39,403.0,390.02,WIN,-7.254
