date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,TCS.NS,MOMENTUM,LONG,3622.48,3658.71,3604.37,WIN,-0.104
2024-06-28,TCS.NS,MOMENTUM,LONG,3704.56,3864.58,3624.55,PARTIAL,-1.528
2024-07-01,TCS.NS,MOMENTUM,LONG,3672.6,3747.74,3635.03,WIN,0.957
2024-07-02,TCS.NS,MOMENTUM,LONG,3776.23,4013.98,3657.36,PARTIAL,-0.564
2024-07-03,TCS.NS,MOMENTUM,LONG,3801.2,4038.36,3682.62,PARTIAL,-2.513
2024-07-05,TCS.NS,MOMENTUM,LONG,3791.74,3951.67,3711.78,PARTIAL,-1.11
2024-07-15,TCS.NS,MOMENTUM,LONG,4005.16,4488.15,3763.66,PARTIAL,-2.667
2024-07-16,TCS.NS,MOMENTUM,LONG,3944.92,4242.3,3796.23,PARTIAL,-0.959
2024-07-18,TCS.NS,MOMENTUM,LONG,3933.58,4152.66,3824.04,PARTIAL,2.619
2024-07-19,TCS.NS,MOMENTUM,LONG,4091.89,4531.47,3872.1,PARTIAL,-1.425
2024-07-22,TCS.NS,MOMENTUM,LONG,4075.35,4406.14,3909.96,PARTIAL,-1.374
2024-07-23,TCS.NS,MOMENTUM,LONG,4059.29,4303.06,3937.4,PARTIAL,-0.634
2024-07-24,TCS.NS,MOMENTUM,LONG,4063.55,4266.28,3962.19,PARTIAL,-0.647
2024-07-29,TCS.NS,MOMENTUM,LONG,4184.39,4492.72,4030.23,PARTIAL,-1.823
2024-07-30,TCS.NS,MOMENTUM,LONG,4161.74,4382.59,4051.32,PARTIAL,-1.647
2024-07-31,TCS.NS,MOMENTUM,LONG,4122.79,4237.94,4065.22,PARTIAL,-0.258
2024-08-01,TCS.NS,MOMENTUM,LONG,4169.61,4348.61,4080.11,PARTIAL,-1.111
2024-08-16,TCS.NS,MOMENTUM,LONG,4122.79,4369.95,3999.21,PARTIAL,0.447
2024-08-19,TCS.NS,MOMENTUM,LONG,4190.08,4504.04,4033.1,PARTIAL,0.505
2024-08-20,TCS.NS,MOMENTUM,LONG,4269.69,4660.73,4074.17,PARTIAL,-0.631
2024-08-21,TCS.NS,MOMENTUM,LONG,4282.01,4619.4,4113.32,PARTIAL,-0.293
2024-08-22,TCS.NS,MOMENTUM,LONG,4321.82,4665.54,4149.96,PARTIAL,-2.296
2024-08-23,TCS.NS,MOMENTUM,LONG,4264.95,4455.01,4169.93,PARTIAL,-1.839
2024-08-30,TCS.NS,MOMENTUM,LONG,4264.95,4349.66,4222.6,PARTIAL,0.155
2024-09-02,TCS.NS,MOMENTUM,LONG,4336.98,4535.33,4237.81,PARTIAL,-2.222
2024-09-13,TCS.NS,MOMENTUM,LONG,4293.39,4403.87,4238.15,PARTIAL,-1.195
2024-09-16,TCS.NS,MOMENTUM,LONG,4290.54,4382.9,4244.37,PARTIAL,-1.336
2024-10-29,TCS.NS,MOMENTUM,LONG,3891.38,3941.87,3866.14,LOSS,-1.677
2024-11-07,TCS.NS,MOMENTUM,LONG,3961.55,4234.89,3824.88,PARTIAL,-1.56
2024-11-08,TCS.NS,MOMENTUM,LONG,3947.58,4151.77,3845.49,PARTIAL,-1.306
2024-11-11,TCS.NS,MOMENTUM,LONG,3922.12,4043.88,3861.24,PARTIAL,0.586
2024-11-12,TCS.NS,MOMENTUM,LONG,4005.54,4249.36,3883.62,PARTIAL,-1.539
2024-11-13,TCS.NS,MOMENTUM,LONG,3969.53,4106.02,3901.28,PARTIAL,-1.771
