date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,TCS.NS,ORB,LONG,3629.73,3665.93,3611.63,WIN,-0.105
2024-06-28,TCS.NS,ORB,LONG,3711.97,3748.99,3693.46,LOSS,-1.576
2024-07-01,TCS.NS,ORB,LONG,3679.95,3716.65,3661.59,WIN,-0.09
2024-07-02,TCS.NS,ORB,LONG,3783.79,3821.53,3764.92,LOSS,-1.556
2024-07-04,TCS.NS,ORB,LONG,3789.71,3827.51,3770.81,LOSS,-1.554
2024-07-05,TCS.NS,ORB,LONG,3799.33,3837.22,3780.38,LOSS,-1.552
2024-07-09,TCS.NS,ORB,LONG,3775.64,3813.3,3756.81,LOSS,-1.558
2024-07-10,TCS.NS,ORB,LONG,3774.41,3812.05,3755.58,LOSS,-1.558
2024-07-11,TCS.NS,ORB,LONG,3724.48,3761.62,3705.9,LOSS,-1.573
2024-07-12,TCS.NS,ORB,LONG,3770.9,3808.51,3752.1,WIN,-0.063
2024-07-16,TCS.NS,ORB,LONG,3952.81,3992.24,3933.1,LOSS,-1.511
2024-07-18,TCS.NS,ORB,LONG,3941.44,3980.76,3921.79,WIN,-0.017
2024-07-19,TCS.NS,ORB,LONG,4100.08,4140.97,4079.63,LOSS,-1.474
2024-07-22,TCS.NS,ORB,LONG,4083.5,4124.23,4063.14,LOSS,-1.478
2024-07-23,TCS.NS,ORB,LONG,4067.41,4107.98,4047.12,WIN,0.014
2024-07-24,TCS.NS,ORB,LONG,4071.68,4112.29,4051.38,LOSS,-1.481
2024-07-25,TCS.NS,ORB,LONG,4078.8,4119.49,4058.46,LOSS,-1.479
2024-07-26,TCS.NS,ORB,LONG,4131.04,4172.24,4110.43,WIN,0.029
2024-07-29,TCS.NS,ORB,LONG,4192.76,4234.58,4171.85,LOSS,-1.453
2024-07-31,TCS.NS,ORB,LONG,4131.03,4172.24,4110.43,WIN,0.029
2024-08-01,TCS.NS,ORB,LONG,4177.95,4219.62,4157.11,LOSS,-1.456
2024-08-02,TCS.NS,ORB,LONG,4145.28,4186.63,4124.61,LOSS,-1.464
2024-08-06,TCS.NS,ORB,LONG,3961.0,4000.51,3941.24,WIN,-0.012
2024-08-07,TCS.NS,ORB,LONG,4015.18,4055.22,3995.15,LOSS,-1.495
2024-08-08,TCS.NS,ORB,LONG,3970.54,4010.14,3950.74,LOSS,-1.506
2024-08-09,TCS.NS,ORB,LONG,4004.73,4044.67,3984.76,LOSS,-1.498
2024-08-13,TCS.NS,ORB,LONG,4000.93,4040.84,3980.98,LOSS,-1.498
2024-08-14,TCS.NS,ORB,LONG,3997.13,4037.0,3977.2,WIN,-0.003
2024-08-16,TCS.NS,ORB,LONG,4131.03,4172.24,4110.43,WIN,0.029
2024-08-19,TCS.NS,ORB,LONG,4198.46,4240.34,4177.52,WIN,0.045
2024-08-20,TCS.NS,ORB,LONG,4278.23,4320.9,4256.9,WIN,0.062
2024-08-21,TCS.NS,ORB,LONG,4290.58,4333.37,4269.18,LOSS,-1.431
2024-08-26,TCS.NS,ORB,LONG,4263.04,4305.56,4241.78,WIN,0.059
2024-08-28,TCS.NS,ORB,LONG,4272.3,4314.91,4250.99,WIN,0.061
2024-08-29,TCS.NS,ORB,LONG,4235.5,4277.74,4214.38,WIN,0.053
2024-08-30,TCS.NS,ORB,LONG,4273.48,4316.11,4252.17,WIN,0.061
2024-09-03,TCS.NS,ORB,LONG,4293.47,4336.3,4272.06,LOSS,-1.43
2024-09-05,TCS.NS,ORB,LONG,4255.44,4297.88,4234.22,LOSS,-1.439
2024-09-06,TCS.NS,ORB,LONG,4248.75,4291.12,4227.56,LOSS,-1.44
2024-09-09,TCS.NS,ORB,LONG,4230.75,4272.95,4209.65,LOSS,-1.444
2024-09-10,TCS.NS,ORB,LONG,4218.83,4260.91,4197.79,WIN,0.049
2024-09-11,TCS.NS,ORB,LONG,4293.85,4336.68,4272.44,LOSS,-1.43
2024-09-12,TCS.NS,ORB,LONG,4283.22,4325.94,4261.86,LOSS,-1.433
2024-09-13,TCS.NS,ORB,LONG,4301.97,4344.88,4280.52,LOSS,-1.429
2024-09-16,TCS.NS,ORB,LONG,4299.13,4342.01,4277.69,LOSS,-1.429
2024-09-17,TCS.NS,ORB,LONG,4286.07,4328.82,4264.69,LOSS,-1.432
2024-09-19,TCS.NS,ORB,LONG,4169.07,4210.65,4148.28,LOSS,-1.458
2024-09-20,TCS.NS,ORB,LONG,4099.6,4140.49,4079.16,LOSS,-1.474
2024-09-24,TCS.NS,ORB,LONG,4037.64,4077.91,4017.5,LOSS,-1.489
2024-09-25,TCS.NS,ORB,LONG,4038.3,4078.58,4018.16,LOSS,-1.489
2024-09-26,TCS.NS,ORB,LONG,4045.57,4085.92,4025.39,WIN,0.009
2024-09-27,TCS.NS,ORB,LONG,4116.79,4157.85,4096.26,LOSS,-1.47
2024-10-01,TCS.NS,ORB,LONG,4041.34,4081.65,4021.18,LOSS,-1.488
2024-10-03,TCS.NS,ORB,LONG,4048.03,4088.41,4027.85,LOSS,-1.487
2024-10-04,TCS.NS,ORB,LONG,4012.33,4052.35,3992.32,WIN,0.0
2024-10-07,TCS.NS,ORB,LONG,4058.77,4099.25,4038.52,LOSS,-1.484
2024-10-09,TCS.NS,ORB,LONG,4045.57,4085.92,4025.39,LOSS,-1.487
2024-10-10,TCS.NS,ORB,LONG,4039.15,4079.44,4019.01,LOSS,-1.489
2024-10-11,TCS.NS,ORB,LONG,3934.45,3973.7,3914.83,WIN,-0.019
2024-10-14,TCS.NS,ORB,LONG,3931.61,3970.82,3912.0,LOSS,-1.516
2024-10-15,TCS.NS,ORB,LONG,3923.11,3962.23,3903.54,LOSS,-1.518
2024-10-16,TCS.NS,ORB,LONG,3879.37,3918.07,3860.03,LOSS,-1.53
2024-10-17,TCS.NS,ORB,LONG,3905.77,3944.73,3886.3,LOSS,-1.523
2024-10-18,TCS.NS,ORB,LONG,3893.6,3932.43,3874.18,WIN,-0.03
2024-10-22,TCS.NS,ORB,LONG,3870.75,3909.36,3851.45,LOSS,-1.532
2024-10-23,TCS.NS,ORB,LONG,3807.54,3845.52,3788.55,WIN,-0.053
2024-10-24,TCS.NS,ORB,LONG,3811.73,3849.75,3792.72,WIN,-0.052
2024-10-25,TCS.NS,ORB,LONG,3862.23,3900.75,3842.97,LOSS,-1.534
2024-10-28,TCS.NS,ORB,LONG,3873.56,3912.19,3854.24,WIN,-0.035
2024-10-30,TCS.NS,ORB,LONG,3879.32,3918.01,3859.97,LOSS,-1.53
2024-11-04,TCS.NS,ORB,LONG,3775.84,3813.5,3757.01,LOSS,-1.558
2024-11-05,TCS.NS,ORB,LONG,3751.85,3789.27,3733.14,PARTIAL,-0.6
2024-11-06,TCS.NS,ORB,LONG,3811.35,3849.36,3792.34,WIN,-0.052
2024-11-07,TCS.NS,ORB,LONG,3969.47,4009.06,3949.67,LOSS,-1.506
2024-11-08,TCS.NS,ORB,LONG,3955.48,3994.93,3935.75,LOSS,-1.51
2024-11-11,TCS.NS,ORB,LONG,3929.96,3969.16,3910.37,WIN,-0.02
2024-11-13,TCS.NS,ORB,LONG,3977.47,4017.14,3957.63,LOSS,-1.504
2024-11-14,TCS.NS,ORB,LONG,3936.44,3975.7,3916.81,LOSS,-1.515
