date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,TCS.NS,VWAP,LONG,3622.48,3682.23,3599.47,WIN,0.545
2024-07-01,TCS.NS,VWAP,LONG,3672.6,3735.65,3661.59,WIN,0.628
2024-07-12,TCS.NS,VWAP,LONG,3763.37,3890.35,3743.89,WIN,2.311
2024-07-18,TCS.NS,VWAP,LONG,3933.58,4030.58,3921.79,WIN,1.449
2024-08-29,TCS.NS,VWAP,LONG,4227.04,4269.47,4214.38,WIN,0.057
2024-09-10,TCS.NS,VWAP,LONG,4210.41,4256.99,4195.9,WIN,0.156
2024-10-04,TCS.NS,VWAP,LONG,4004.32,4031.66,3991.42,WIN,-0.316
2024-10-23,TCS.NS,VWAP,LONG,3799.94,3851.87,3784.34,WIN,0.314
2024-10-24,TCS.NS,VWAP,LONG,3804.12,3837.94,3792.72,WIN,-0.163
2024-11-06,TCS.NS,VWAP,LONG,3803.74,3880.27,3765.49,WIN,0.96
2024-11-11,TCS.NS,VWAP,LONG,3922.12,3970.74,3900.37,WIN,0.22
2024-11-19,TCS.NS,VWAP,LONG,3819.23,3855.31,3802.29,WIN,-0.103
2024-11-22,TCS.NS,VWAP,LONG,3867.78,3971.65,3840.08,WIN,1.652
2025-01-22,TCS.NS,VWAP,LONG,3918.63,3983.65,3901.29,WIN,0.638
2025-01-24,TCS.NS,VWAP,LONG,3970.87,4006.33,3958.97,WIN,-0.114
2025-01-29,TCS.NS,VWAP,LONG,3922.5,3950.68,3910.74,WIN,-0.301
2025-02-17,TCS.NS,VWAP,LONG,3731.4,3768.01,3719.93,WIN,-0.091
2025-03-05,TCS.NS,VWAP,LONG,3406.64,3437.29,3396.43,WIN,-0.274
2025-03-20,TCS.NS,VWAP,LONG,3398.08,3432.73,3387.89,WIN,-0.157
2025-03-21,TCS.NS,VWAP,LONG,3362.28,3434.43,3342.55,WIN,0.956
2025-05-09,TCS.NS,VWAP,LONG,3288.74,3313.68,3278.02,WIN,-0.458
2025-05-12,TCS.NS,VWAP,LONG,3391.3,3464.63,3378.44,WIN,0.983
2025-06-13,TCS.NS,VWAP,LONG,3312.31,3344.7,3302.39,WIN,-0.23
2025-07-15,TCS.NS,VWAP,LONG,3129.58,3158.86,3120.2,WIN,-0.342
2025-08-20,TCS.NS,VWAP,LONG,2949.1,3004.93,2940.26,WIN,0.537
2025-09-10,TCS.NS,VWAP,LONG,2993.67,3028.8,2981.76,WIN,-0.162
2025-10-06,TCS.NS,VWAP,LONG,2842.44,2895.57,2827.67,WIN,0.462
2025-10-08,TCS.NS,VWAP,LONG,2913.94,2947.95,2898.37,WIN,-0.206
2025-11-10,TCS.NS,VWAP,LONG,2942.5,2967.75,2932.7,WIN,-0.501
2025-11-12,TCS.NS,VWAP,LONG,3008.37,3052.93,2996.51,WIN,0.152
2025-11-26,TCS.NS,VWAP,LONG,3066.18,3096.35,3055.23,WIN,-0.321
2025-12-03,TCS.NS,VWAP,LONG,3087.02,3120.24,3076.79,WIN,-0.22
2026-02-13,TCS.NS,VWAP,LONG,2587.58,2663.4,2579.83,WIN,1.384
2026-02-25,TCS.NS,VWAP,LONG,2598.6,2626.17,2589.81,WIN,-0.478
2026-03-18,TCS.NS,VWAP,LONG,2412.41,2444.57,2405.18,WIN,-0.325
2026-04-02,TCS.NS,VWAP,LONG,2388.39,2432.1,2370.95,WIN,0.155
2026-04-07,TCS.NS,VWAP,LONG,2463.46,2510.57,2443.1,WIN,0.288
2026-04-21,TCS.NS,VWAP,LONG,2562.56,2594.83,2554.88,WIN,-0.302
2026-04-27,TCS.NS,VWAP,LONG,2399.3,2434.5,2392.11,WIN,-0.2
2026-05-11,TCS.NS,VWAP,LONG,2373.37,2392.97,2366.26,WIN,-0.86
