date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-02,TITAN.NS,MOMENTUM,LONG,3439.1,3542.88,3387.2,LOSS,-2.672
2024-07-03,TITAN.NS,MOMENTUM,LONG,3413.95,3470.6,3385.62,LOSS,-2.001
2024-07-24,TITAN.NS,MOMENTUM,LONG,3463.05,3832.35,3278.4,PARTIAL,-1.013
2024-07-25,TITAN.NS,MOMENTUM,LONG,3408.16,3596.01,3314.23,PARTIAL,-1.543
2024-07-26,TITAN.NS,MOMENTUM,LONG,3398.98,3540.0,3328.46,PARTIAL,1.315
2024-07-29,TITAN.NS,MOMENTUM,LONG,3488.0,3749.17,3357.41,PARTIAL,-3.628
2024-08-01,TITAN.NS,MOMENTUM,LONG,3468.04,3619.48,3392.32,PARTIAL,-1.444
2024-08-14,TITAN.NS,MOMENTUM,LONG,3383.21,3470.34,3339.64,PARTIAL,-0.924
2024-08-16,TITAN.NS,MOMENTUM,LONG,3403.17,3513.37,3348.07,PARTIAL,-0.257
2024-08-19,TITAN.NS,MOMENTUM,LONG,3429.32,3561.4,3363.28,PARTIAL,-0.433
2024-08-20,TITAN.NS,MOMENTUM,LONG,3473.03,3660.21,3379.44,PARTIAL,-1.398
2024-08-21,TITAN.NS,MOMENTUM,LONG,3467.94,3615.08,3394.37,PARTIAL,1.205
2024-08-22,TITAN.NS,MOMENTUM,LONG,3567.79,3856.75,3423.31,PARTIAL,-0.398
2024-08-23,TITAN.NS,MOMENTUM,LONG,3604.21,3902.23,3455.21,PARTIAL,-2.356
2024-08-26,TITAN.NS,MOMENTUM,LONG,3584.8,3806.64,3473.89,PARTIAL,-0.153
2024-08-27,TITAN.NS,MOMENTUM,LONG,3622.93,3867.18,3500.8,PARTIAL,-3.377
2024-09-03,TITAN.NS,MOMENTUM,LONG,3580.36,3690.83,3525.13,PARTIAL,-0.281
2024-09-04,TITAN.NS,MOMENTUM,LONG,3578.92,3656.76,3539.99,PARTIAL,-0.616
2024-09-05,TITAN.NS,MOMENTUM,LONG,3609.35,3729.64,3549.21,WIN,2.224
2024-09-06,TITAN.NS,MOMENTUM,LONG,3707.51,3963.57,3579.48,PARTIAL,-1.702
2024-09-09,TITAN.NS,MOMENTUM,LONG,3682.71,3851.61,3598.25,PARTIAL,-1.336
2024-09-10,TITAN.NS,MOMENTUM,LONG,3696.58,3867.54,3611.1,PARTIAL,-0.551
2024-09-11,TITAN.NS,MOMENTUM,LONG,3724.42,3913.49,3629.89,PARTIAL,-1.731
2024-09-13,TITAN.NS,MOMENTUM,LONG,3769.43,3984.92,3661.69,PARTIAL,-1.426
2024-09-16,TITAN.NS,MOMENTUM,LONG,3760.45,3924.88,3678.24,PARTIAL,-1.889
2024-09-18,TITAN.NS,MOMENTUM,LONG,3761.45,3888.44,3697.96,LOSS,-2.751
2024-09-23,TITAN.NS,MOMENTUM,LONG,3789.59,3921.66,3723.56,PARTIAL,-0.553
2024-09-24,TITAN.NS,MOMENTUM,LONG,3810.35,3954.47,3738.29,PARTIAL,-2.016
2024-09-25,TITAN.NS,MOMENTUM,LONG,3792.39,3891.01,3743.08,LOSS,-2.355
2024-10-01,TITAN.NS,MOMENTUM,LONG,3816.29,3931.12,3758.87,LOSS,-2.553
2024-11-25,TITAN.NS,MOMENTUM,LONG,3353.27,3657.17,3201.32,PARTIAL,-2.806
2024-11-26,TITAN.NS,MOMENTUM,LONG,3303.37,3472.29,3218.91,PARTIAL,-0.783
2024-11-27,TITAN.NS,MOMENTUM,LONG,3318.34,3481.74,3236.64,PARTIAL,-2.307
2024-11-28,TITAN.NS,MOMENTUM,LONG,3285.4,3368.82,3243.7,LOSS,-2.487
2024-12-04,TITAN.NS,MOMENTUM,LONG,3335.3,3491.0,3257.45,PARTIAL,-0.628
2024-12-05,TITAN.NS,MOMENTUM,LONG,3368.19,3554.92,3274.82,PARTIAL,0.669
2024-12-06,TITAN.NS,MOMENTUM,LONG,3447.03,3733.2,3303.94,PARTIAL,-0.793
2024-12-09,TITAN.NS,MOMENTUM,LONG,3460.55,3715.62,3333.02,PARTIAL,-1.236
2024-12-10,TITAN.NS,MOMENTUM,LONG,3463.05,3677.35,3355.9,PARTIAL,-1.089
2024-12-11,TITAN.NS,MOMENTUM,LONG,3477.77,3681.9,3375.7,PARTIAL,-1.584
2024-12-16,TITAN.NS,MOMENTUM,LONG,3497.98,3662.26,3415.84,PARTIAL,-3.147
2025-01-03,TITAN.NS,MOMENTUM,LONG,3388.2,3552.46,3306.07,PARTIAL,0.386
2025-01-06,TITAN.NS,MOMENTUM,LONG,3483.01,3786.93,3331.05,PARTIAL,-1.809
2025-01-07,TITAN.NS,MOMENTUM,LONG,3483.01,3739.5,3354.76,PARTIAL,-0.816
2025-01-08,TITAN.NS,MOMENTUM,LONG,3480.66,3680.73,3380.63,PARTIAL,-1.352
2025-01-09,TITAN.NS,MOMENTUM,LONG,3478.97,3642.62,3397.14,PARTIAL,-1.218
2025-01-10,TITAN.NS,MOMENTUM,LONG,3455.06,3543.31,3410.94,PARTIAL,-1.885
2025-01-21,TITAN.NS,MOMENTUM,LONG,3394.14,3478.02,3352.2,LOSS,-2.414
2025-01-24,TITAN.NS,MOMENTUM,LONG,3400.17,3495.66,3352.43,PARTIAL,-1.419
2025-02-01,TITAN.NS,MOMENTUM,LONG,3519.93,3824.35,3367.72,PARTIAL,-0.528
2025-02-03,TITAN.NS,MOMENTUM,LONG,3557.86,3872.93,3400.32,PARTIAL,-0.795
2025-02-04,TITAN.NS,MOMENTUM,LONG,3582.81,3884.37,3432.03,PARTIAL,-1.002
2025-02-05,TITAN.NS,MOMENTUM,LONG,3588.8,3844.68,3460.85,PARTIAL,-4.134
2025-03-20,TITAN.NS,MOMENTUM,LONG,3093.79,3212.57,3034.4,PARTIAL,1.607
2025-03-21,TITAN.NS,MOMENTUM,LONG,3180.57,3417.07,3062.31,PARTIAL,-2.118
2025-03-24,TITAN.NS,MOMENTUM,LONG,3161.85,3328.35,3078.6,LOSS,-3.898
2025-04-03,TITAN.NS,MOMENTUM,LONG,3064.85,3096.42,3049.06,WIN,-0.275
2025-04-04,TITAN.NS,MOMENTUM,LONG,3092.79,3156.35,3061.01,LOSS,-2.321
2025-04-08,TITAN.NS,MOMENTUM,LONG,3143.39,3331.95,3049.11,PARTIAL,-2.241
2025-04-11,TITAN.NS,MOMENTUM,LONG,3215.54,3488.57,3079.03,PARTIAL,-0.944
2025-04-15,TITAN.NS,MOMENTUM,LONG,3263.45,3577.69,3106.33,PARTIAL,-1.222
2025-04-16,TITAN.NS,MOMENTUM,LONG,3243.49,3458.83,3135.82,PARTIAL,-0.654
2025-04-17,TITAN.NS,MOMENTUM,LONG,3243.49,3412.16,3159.16,PARTIAL,1.049
2025-04-21,TITAN.NS,MOMENTUM,LONG,3307.36,3544.41,3188.84,PARTIAL,-0.643
2025-04-22,TITAN.NS,MOMENTUM,LONG,3329.42,3559.67,3214.29,PARTIAL,-1.262
2025-04-23,TITAN.NS,MOMENTUM,LONG,3350.27,3580.99,3234.91,PARTIAL,-1.285
2025-04-24,TITAN.NS,MOMENTUM,LONG,3350.08,3539.49,3255.37,PARTIAL,-0.526
2025-04-25,TITAN.NS,MOMENTUM,LONG,3375.82,3573.95,3276.76,PARTIAL,-1.799
2025-05-12,TITAN.NS,MOMENTUM,LONG,3530.11,3883.24,3353.55,PARTIAL,-0.507
2025-05-13,TITAN.NS,MOMENTUM,LONG,3555.76,3884.98,3391.15,PARTIAL,-1.216
2025-05-14,TITAN.NS,MOMENTUM,LONG,3547.88,3801.05,3421.29,PARTIAL,-0.311
2025-05-15,TITAN.NS,MOMENTUM,LONG,3589.79,3868.87,3450.25,PARTIAL,-0.109
2025-05-16,TITAN.NS,MOMENTUM,LONG,3646.68,3973.63,3483.2,PARTIAL,-1.752
2025-05-19,TITAN.NS,MOMENTUM,LONG,3609.75,3811.36,3508.95,PARTIAL,-1.189
2025-05-20,TITAN.NS,MOMENTUM,LONG,3610.45,3778.63,3526.36,PARTIAL,-2.232
2025-06-12,TITAN.NS,MOMENTUM,LONG,3540.89,3590.49,3516.09,LOSS,-1.83
2025-06-20,TITAN.NS,MOMENTUM,LONG,3492.99,3565.05,3456.96,PARTIAL,-0.703
2025-06-24,TITAN.NS,MOMENTUM,LONG,3516.04,3610.01,3469.06,PARTIAL,-1.155
2025-06-25,TITAN.NS,MOMENTUM,LONG,3542.89,3676.22,3476.22,PARTIAL,1.647
2025-06-26,TITAN.NS,MOMENTUM,LONG,3647.68,3928.95,3507.04,PARTIAL,-0.111
2025-06-27,TITAN.NS,MOMENTUM,LONG,3692.59,3997.47,3540.15,PARTIAL,-2.096
2025-06-30,TITAN.NS,MOMENTUM,LONG,3658.85,3854.64,3560.96,PARTIAL,-0.539
2025-07-01,TITAN.NS,MOMENTUM,LONG,3691.59,3909.99,3582.39,PARTIAL,-1.143
2025-07-02,TITAN.NS,MOMENTUM,LONG,3697.58,3889.58,3601.58,PARTIAL,-1.101
2025-07-23,TITAN.NS,MOMENTUM,LONG,3475.87,3551.92,3437.85,PARTIAL,-1.279
2025-07-24,TITAN.NS,MOMENTUM,LONG,3470.87,3527.65,3442.47,PARTIAL,-0.763
2025-07-25,TITAN.NS,MOMENTUM,LONG,3479.88,3542.09,3448.77,LOSS,-2.043
2025-08-06,TITAN.NS,MOMENTUM,LONG,3440.44,3562.84,3379.23,PARTIAL,-1.824
2025-08-08,TITAN.NS,MOMENTUM,LONG,3453.55,3582.67,3388.99,PARTIAL,-0.966
2025-08-11,TITAN.NS,MOMENTUM,LONG,3476.47,3627.11,3401.16,PARTIAL,-1.397
2025-08-12,TITAN.NS,MOMENTUM,LONG,3471.37,3589.25,3412.42,PARTIAL,-0.708
2025-08-13,TITAN.NS,MOMENTUM,LONG,3490.29,3620.45,3425.21,PARTIAL,-1.819
2025-08-14,TITAN.NS,MOMENTUM,LONG,3479.98,3577.04,3431.45,PARTIAL,-0.879
2025-08-19,TITAN.NS,MOMENTUM,LONG,3558.55,3752.5,3461.58,PARTIAL,-0.856
2025-08-20,TITAN.NS,MOMENTUM,LONG,3563.56,3729.19,3480.74,PARTIAL,-0.24
2025-08-21,TITAN.NS,MOMENTUM,LONG,3598.59,3792.91,3501.44,PARTIAL,-0.62
2025-08-22,TITAN.NS,MOMENTUM,LONG,3619.92,3815.27,3522.24,PARTIAL,-1.075
2025-08-25,TITAN.NS,MOMENTUM,LONG,3633.33,3820.35,3539.82,PARTIAL,-0.604
2025-08-26,TITAN.NS,MOMENTUM,LONG,3666.46,3879.5,3559.95,PARTIAL,-3.067
2025-09-04,TITAN.NS,MOMENTUM,LONG,3743.74,4009.45,3610.88,PARTIAL,-2.475
2025-09-05,TITAN.NS,MOMENTUM,LONG,3698.69,3846.66,3624.71,PARTIAL,-1.984
2025-09-08,TITAN.NS,MOMENTUM,LONG,3656.65,3708.7,3630.63,PARTIAL,-1.057
2025-09-09,TITAN.NS,MOMENTUM,LONG,3671.47,3746.58,3633.91,LOSS,-2.112
