date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,TITAN.NS,ORB,LONG,3369.97,3403.59,3353.17,LOSS,-1.686
2024-06-28,TITAN.NS,ORB,LONG,3380.57,3414.29,3363.72,LOSS,-1.682
2024-07-01,TITAN.NS,ORB,LONG,3381.97,3415.71,3365.11,WIN,-0.185
2024-07-09,TITAN.NS,ORB,LONG,3169.98,3201.59,3154.17,WIN,-0.264
2024-07-10,TITAN.NS,ORB,LONG,3217.73,3249.82,3201.68,LOSS,-1.742
2024-07-11,TITAN.NS,ORB,LONG,3246.93,3279.31,3230.73,LOSS,-1.731
2024-07-15,TITAN.NS,ORB,LONG,3241.73,3274.06,3225.56,LOSS,-1.733
2024-07-16,TITAN.NS,ORB,LONG,3227.93,3260.12,3211.83,PARTIAL,-1.35
2024-07-18,TITAN.NS,ORB,LONG,3232.93,3265.17,3216.8,LOSS,-1.736
2024-07-19,TITAN.NS,ORB,LONG,3262.03,3294.56,3245.76,LOSS,-1.725
2024-07-22,TITAN.NS,ORB,LONG,3249.98,3282.39,3233.77,LOSS,-1.729
2024-07-23,TITAN.NS,ORB,LONG,3255.08,3287.54,3238.84,WIN,-0.231
2024-07-24,TITAN.NS,ORB,LONG,3469.97,3504.58,3452.67,WIN,-0.155
2024-07-25,TITAN.NS,ORB,LONG,3414.97,3449.04,3397.94,LOSS,-1.67
2024-07-26,TITAN.NS,ORB,LONG,3405.77,3439.74,3388.79,WIN,-0.177
2024-07-30,TITAN.NS,ORB,LONG,3424.92,3459.08,3407.84,WIN,-0.171
2024-07-31,TITAN.NS,ORB,LONG,3479.02,3513.72,3461.67,LOSS,-1.648
2024-08-01,TITAN.NS,ORB,LONG,3474.97,3509.63,3457.64,LOSS,-1.65
2024-08-02,TITAN.NS,ORB,LONG,3414.97,3449.04,3397.94,WIN,-0.174
2024-08-05,TITAN.NS,ORB,LONG,3320.03,3353.14,3303.47,WIN,-0.207
2024-08-06,TITAN.NS,ORB,LONG,3380.92,3414.65,3364.06,LOSS,-1.682
2024-08-08,TITAN.NS,ORB,LONG,3336.98,3370.26,3320.33,LOSS,-1.697
2024-08-12,TITAN.NS,ORB,LONG,3331.62,3364.85,3315.01,LOSS,-1.699
2024-08-13,TITAN.NS,ORB,LONG,3329.98,3363.19,3313.37,WIN,-0.204
2024-08-14,TITAN.NS,ORB,LONG,3389.97,3423.79,3373.07,LOSS,-1.679
2024-08-16,TITAN.NS,ORB,LONG,3409.97,3443.99,3392.97,LOSS,-1.672
2024-08-19,TITAN.NS,ORB,LONG,3436.17,3470.45,3419.04,WIN,-0.167
2024-08-21,TITAN.NS,ORB,LONG,3474.87,3509.53,3457.54,WIN,-0.154
2024-08-22,TITAN.NS,ORB,LONG,3574.92,3610.58,3557.1,WIN,-0.121
2024-08-23,TITAN.NS,ORB,LONG,3611.42,3647.44,3593.41,LOSS,-1.606
2024-08-26,TITAN.NS,ORB,LONG,3591.97,3627.8,3574.06,WIN,-0.116
2024-08-27,TITAN.NS,ORB,LONG,3630.17,3666.38,3612.07,LOSS,-1.601
2024-08-28,TITAN.NS,ORB,LONG,3559.62,3595.13,3541.87,LOSS,-1.622
2024-08-29,TITAN.NS,ORB,LONG,3536.97,3572.25,3519.33,LOSS,-1.63
2024-08-30,TITAN.NS,ORB,LONG,3549.97,3585.38,3532.27,WIN,-0.129
2024-09-02,TITAN.NS,ORB,LONG,3565.12,3600.68,3547.34,LOSS,-1.621
2024-09-03,TITAN.NS,ORB,LONG,3587.52,3623.31,3569.63,WIN,-0.118
2024-09-04,TITAN.NS,ORB,LONG,3586.07,3621.84,3568.19,LOSS,-1.614
2024-09-05,TITAN.NS,ORB,LONG,3616.57,3652.65,3598.54,WIN,-0.109
2024-09-06,TITAN.NS,ORB,LONG,3714.92,3751.98,3696.4,LOSS,-1.575
2024-09-09,TITAN.NS,ORB,LONG,3690.07,3726.88,3671.67,LOSS,-1.583
2024-09-10,TITAN.NS,ORB,LONG,3703.97,3740.92,3685.5,LOSS,-1.579
2024-09-11,TITAN.NS,ORB,LONG,3731.87,3769.09,3713.26,LOSS,-1.571
2024-09-12,TITAN.NS,ORB,LONG,3735.97,3773.23,3717.34,LOSS,-1.569
2024-09-13,TITAN.NS,ORB,LONG,3776.97,3814.64,3758.14,LOSS,-1.558
2024-09-16,TITAN.NS,ORB,LONG,3767.97,3805.55,3749.18,LOSS,-1.56
2024-09-17,TITAN.NS,ORB,LONG,3759.87,3797.37,3741.12,LOSS,-1.563
2024-09-18,TITAN.NS,ORB,LONG,3768.97,3806.56,3750.18,LOSS,-1.56
2024-09-19,TITAN.NS,ORB,LONG,3749.97,3787.37,3731.27,LOSS,-1.565
2024-09-20,TITAN.NS,ORB,LONG,3792.97,3830.8,3774.06,LOSS,-1.553
2024-09-23,TITAN.NS,ORB,LONG,3797.17,3835.04,3778.24,LOSS,-1.552
2024-09-24,TITAN.NS,ORB,LONG,3817.97,3856.05,3798.93,LOSS,-1.546
2024-09-26,TITAN.NS,ORB,LONG,3737.97,3775.25,3719.33,LOSS,-1.569
2024-09-27,TITAN.NS,ORB,LONG,3773.97,3811.61,3755.15,WIN,-0.062
2024-09-30,TITAN.NS,ORB,LONG,3785.97,3823.73,3767.09,WIN,-0.059
2024-10-01,TITAN.NS,ORB,LONG,3823.92,3862.06,3804.85,LOSS,-1.545
2024-10-03,TITAN.NS,ORB,LONG,3689.07,3725.87,3670.68,WIN,-0.087
2024-10-04,TITAN.NS,ORB,LONG,3624.97,3661.13,3606.9,WIN,-0.106
2024-10-09,TITAN.NS,ORB,LONG,3517.97,3553.06,3500.43,LOSS,-1.636
