date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-01,TITAN.NS,VWAP,LONG,3375.22,3405.73,3364.61,WIN,-0.281
2024-07-23,TITAN.NS,VWAP,LONG,3248.58,3386.14,3216.01,WIN,3.003
2024-07-26,TITAN.NS,VWAP,LONG,3398.98,3452.56,3376.05,WIN,0.4
2024-08-02,TITAN.NS,VWAP,LONG,3408.16,3439.73,3392.97,WIN,-0.247
2024-08-05,TITAN.NS,VWAP,LONG,3313.4,3373.66,3299.94,WIN,0.612
2024-08-19,TITAN.NS,VWAP,LONG,3429.32,3458.01,3419.04,WIN,-0.33
2024-09-05,TITAN.NS,VWAP,LONG,3609.35,3681.32,3582.42,WIN,0.886
2024-09-30,TITAN.NS,VWAP,LONG,3778.41,3813.02,3767.09,WIN,-0.143
2024-10-04,TITAN.NS,VWAP,LONG,3617.74,3671.92,3606.9,WIN,0.392
2024-11-22,TITAN.NS,VWAP,LONG,3168.49,3249.5,3136.41,WIN,1.294
2024-11-29,TITAN.NS,VWAP,LONG,3205.91,3230.73,3196.31,WIN,-0.474
2025-01-02,TITAN.NS,VWAP,LONG,3257.46,3336.92,3234.76,WIN,1.211
2025-01-31,TITAN.NS,VWAP,LONG,3393.19,3459.62,3375.46,WIN,0.779
2025-02-24,TITAN.NS,VWAP,LONG,3124.73,3154.49,3115.36,WIN,-0.328
2025-02-25,TITAN.NS,VWAP,LONG,3133.71,3172.74,3120.88,WIN,-0.031
2025-03-17,TITAN.NS,VWAP,LONG,2979.07,3003.89,2970.14,WIN,-0.509
2025-03-27,TITAN.NS,VWAP,LONG,3041.44,3068.4,3032.33,WIN,-0.429
2025-04-03,TITAN.NS,VWAP,LONG,3064.85,3106.17,3052.68,WIN,0.043
2025-04-07,TITAN.NS,VWAP,LONG,2919.14,2989.4,2910.39,WIN,1.037
2025-05-09,TITAN.NS,VWAP,LONG,3360.25,3454.44,3337.45,WIN,1.612
2025-06-25,TITAN.NS,VWAP,LONG,3542.89,3611.53,3532.27,WIN,0.808
2025-08-05,TITAN.NS,VWAP,LONG,3359.66,3403.07,3341.3,WIN,0.102
2025-08-07,TITAN.NS,VWAP,LONG,3383.38,3410.13,3370.94,WIN,-0.392
2025-08-18,TITAN.NS,VWAP,LONG,3499.5,3541.03,3486.51,WIN,0.044
2025-08-28,TITAN.NS,VWAP,LONG,3555.65,3613.57,3545.0,WIN,0.504
2025-09-29,TITAN.NS,VWAP,LONG,3330.33,3382.07,3320.35,WIN,0.353
2025-10-03,TITAN.NS,VWAP,LONG,3383.28,3430.1,3371.24,WIN,0.202
2025-10-08,TITAN.NS,VWAP,LONG,3477.47,3535.2,3453.08,WIN,0.51
2025-10-16,TITAN.NS,VWAP,LONG,3552.55,3610.77,3532.92,WIN,0.513
2025-10-17,TITAN.NS,VWAP,LONG,3638.63,3674.27,3625.73,WIN,-0.12
2025-10-20,TITAN.NS,VWAP,LONG,3683.68,3721.1,3668.85,WIN,-0.07
2025-11-04,TITAN.NS,VWAP,LONG,3728.22,3785.17,3707.57,WIN,0.454
2025-11-26,TITAN.NS,VWAP,LONG,3848.84,3885.23,3835.81,WIN,-0.094
2025-12-05,TITAN.NS,VWAP,LONG,3780.78,3806.1,3769.45,WIN,-0.388
2025-12-26,TITAN.NS,VWAP,LONG,3912.81,3966.3,3892.2,WIN,0.345
2026-03-10,TITAN.NS,VWAP,LONG,4179.28,4212.7,4166.75,WIN,-0.157
2026-03-18,TITAN.NS,VWAP,LONG,4087.78,4132.7,4069.64,WIN,0.12
2026-03-20,TITAN.NS,VWAP,LONG,4050.95,4099.13,4032.82,WIN,0.202
2026-03-25,TITAN.NS,VWAP,LONG,3953.95,4025.6,3932.62,WIN,0.8
2026-04-01,TITAN.NS,VWAP,LONG,4004.0,4055.17,3992.0,WIN,0.279
2026-04-06,TITAN.NS,VWAP,LONG,4109.1,4203.0,4096.79,WIN,1.312
2026-04-10,TITAN.NS,VWAP,LONG,4434.53,4484.67,4416.25,WIN,0.229
2026-04-13,TITAN.NS,VWAP,LONG,4395.49,4442.13,4382.32,WIN,0.151
