date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-02,VEDL.NS,MOMENTUM,LONG,406.42,431.12,394.07,PARTIAL,-11.899
2024-07-03,VEDL.NS,MOMENTUM,LONG,400.46,412.11,394.63,PARTIAL,-9.274
2024-07-04,VEDL.NS,MOMENTUM,LONG,407.38,429.88,396.13,PARTIAL,-9.705
2024-07-05,VEDL.NS,MOMENTUM,LONG,409.38,431.69,398.22,PARTIAL,-9.138
2024-07-08,VEDL.NS,MOMENTUM,LONG,414.16,441.04,400.73,PARTIAL,-11.91
2024-07-09,VEDL.NS,MOMENTUM,LONG,406.77,417.69,401.31,PARTIAL,-10.308
2024-07-30,VEDL.NS,MOMENTUM,LONG,388.84,396.58,384.97,LOSS,-11.282
2024-07-31,VEDL.NS,MOMENTUM,LONG,394.24,411.7,385.5,PARTIAL,-10.742
2024-08-01,VEDL.NS,MOMENTUM,LONG,398.59,422.67,386.54,LOSS,-13.057
2024-08-13,VEDL.NS,MOMENTUM,LONG,380.4,389.23,375.98,LOSS,-11.676
2024-08-20,VEDL.NS,MOMENTUM,LONG,390.32,418.25,376.36,PARTIAL,-9.865
2024-08-21,VEDL.NS,MOMENTUM,LONG,394.8,425.98,379.21,PARTIAL,-8.965
2024-08-22,VEDL.NS,MOMENTUM,LONG,403.93,445.77,383.01,PARTIAL,-10.1
2024-08-23,VEDL.NS,MOMENTUM,LONG,403.89,438.08,386.79,PARTIAL,-12.317
2024-08-26,VEDL.NS,MOMENTUM,LONG,397.79,417.3,388.03,PARTIAL,-7.928
2024-08-27,VEDL.NS,MOMENTUM,LONG,406.57,436.84,391.43,PARTIAL,-9.744
2024-08-28,VEDL.NS,MOMENTUM,LONG,410.87,444.03,394.29,PARTIAL,-10.23
2024-08-29,VEDL.NS,MOMENTUM,LONG,412.89,444.76,396.95,PARTIAL,-11.232
2024-08-30,VEDL.NS,MOMENTUM,LONG,408.89,429.44,398.62,PARTIAL,-9.282
2024-09-02,VEDL.NS,MOMENTUM,LONG,415.08,443.58,400.84,PARTIAL,-11.734
2024-09-16,VEDL.NS,MOMENTUM,LONG,420.45,453.72,403.81,PARTIAL,-12.166
2024-09-17,VEDL.NS,MOMENTUM,LONG,413.75,431.91,404.66,PARTIAL,-9.967
2024-09-18,VEDL.NS,MOMENTUM,LONG,413.84,429.55,405.98,PARTIAL,-10.32
2024-09-19,VEDL.NS,MOMENTUM,LONG,414.02,428.53,406.77,LOSS,-11.414
2024-09-25,VEDL.NS,MOMENTUM,LONG,438.81,489.12,413.65,PARTIAL,-8.829
2024-09-26,VEDL.NS,MOMENTUM,LONG,444.82,497.12,418.67,PARTIAL,-5.546
2024-09-27,VEDL.NS,MOMENTUM,LONG,464.51,540.15,426.69,PARTIAL,-7.329
2024-09-30,VEDL.NS,MOMENTUM,LONG,476.45,559.01,435.16,PARTIAL,-9.718
2024-10-01,VEDL.NS,MOMENTUM,LONG,468.46,521.62,441.88,PARTIAL,-7.493
2024-10-03,VEDL.NS,MOMENTUM,LONG,470.94,517.03,447.89,PARTIAL,-8.837
2024-10-04,VEDL.NS,MOMENTUM,LONG,471.86,511.78,451.89,PARTIAL,-9.607
2024-11-07,VEDL.NS,MOMENTUM,LONG,435.13,448.15,428.63,LOSS,-10.688
2024-11-25,VEDL.NS,MOMENTUM,LONG,414.94,427.48,408.67,LOSS,-11.151
2024-11-27,VEDL.NS,MOMENTUM,LONG,414.39,426.22,408.47,LOSS,-11.081
2024-11-29,VEDL.NS,MOMENTUM,LONG,415.31,427.38,409.27,PARTIAL,-9.488
2024-12-02,VEDL.NS,MOMENTUM,LONG,416.32,428.26,410.34,PARTIAL,-8.155
2024-12-03,VEDL.NS,MOMENTUM,LONG,426.41,454.25,412.5,PARTIAL,-8.652
2024-12-04,VEDL.NS,MOMENTUM,LONG,431.42,462.97,415.64,PARTIAL,-9.701
2024-12-05,VEDL.NS,MOMENTUM,LONG,431.37,457.77,418.17,PARTIAL,-8.82
2024-12-06,VEDL.NS,MOMENTUM,LONG,436.05,466.28,420.94,PARTIAL,-3.721
2024-12-09,VEDL.NS,MOMENTUM,LONG,458.96,519.99,428.44,PARTIAL,-9.395
2024-12-10,VEDL.NS,MOMENTUM,LONG,457.58,505.44,433.65,PARTIAL,-8.481
2024-12-11,VEDL.NS,MOMENTUM,LONG,458.09,497.46,438.4,PARTIAL,-5.759
2024-12-12,VEDL.NS,MOMENTUM,LONG,476.45,539.78,444.78,PARTIAL,-7.918
2024-12-13,VEDL.NS,MOMENTUM,LONG,477.82,530.91,451.28,PARTIAL,-8.663
2024-12-16,VEDL.NS,MOMENTUM,LONG,479.2,525.55,456.02,PARTIAL,-10.083
2024-12-17,VEDL.NS,MOMENTUM,LONG,471.35,496.63,458.71,LOSS,-11.168
2025-01-06,VEDL.NS,MOMENTUM,LONG,429.82,440.47,424.5,LOSS,-10.545
2025-01-17,VEDL.NS,MOMENTUM,LONG,422.53,449.19,409.2,PARTIAL,-9.114
2025-01-20,VEDL.NS,MOMENTUM,LONG,426.88,456.81,411.91,PARTIAL,-8.53
2025-01-21,VEDL.NS,MOMENTUM,LONG,434.68,473.32,415.36,PARTIAL,-11.687
2025-01-22,VEDL.NS,MOMENTUM,LONG,425.75,443.64,416.81,LOSS,-11.496
2025-02-01,VEDL.NS,MOMENTUM,LONG,415.94,433.52,407.15,LOSS,-11.731
2025-02-05,VEDL.NS,MOMENTUM,LONG,410.33,420.57,405.21,PARTIAL,-8.596
2025-02-10,VEDL.NS,MOMENTUM,LONG,424.4,450.36,411.42,LOSS,-12.484
2025-02-21,VEDL.NS,MOMENTUM,LONG,406.87,427.51,396.55,PARTIAL,-9.254
2025-02-24,VEDL.NS,MOMENTUM,LONG,406.64,422.23,398.84,LOSS,-11.754
2025-03-06,VEDL.NS,MOMENTUM,LONG,405.7,443.15,386.98,PARTIAL,-7.899
2025-03-07,VEDL.NS,MOMENTUM,LONG,413.98,457.8,392.07,PARTIAL,-9.176
2025-03-10,VEDL.NS,MOMENTUM,LONG,416.41,456.02,396.6,PARTIAL,-11.511
2025-03-11,VEDL.NS,MOMENTUM,LONG,400.56,404.22,398.73,WIN,-9.072
2025-03-12,VEDL.NS,MOMENTUM,LONG,415.89,445.26,401.21,PARTIAL,-9.707
2025-03-18,VEDL.NS,MOMENTUM,LONG,417.81,438.11,407.66,PARTIAL,-9.674
