date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,VEDL.NS,ORB,LONG,385.43,389.28,383.51,LOSS,-10.877
2024-06-28,VEDL.NS,ORB,LONG,387.7,391.57,385.77,WIN,-9.32
2024-07-01,VEDL.NS,ORB,LONG,398.51,402.49,396.52,WIN,-9.04
2024-07-02,VEDL.NS,ORB,LONG,407.23,411.29,405.2,WIN,-8.825
2024-07-03,VEDL.NS,ORB,LONG,401.26,405.26,399.26,LOSS,-10.467
2024-07-04,VEDL.NS,ORB,LONG,408.19,412.26,406.16,LOSS,-10.298
2024-07-05,VEDL.NS,ORB,LONG,410.2,414.29,408.15,WIN,-8.754
2024-07-08,VEDL.NS,ORB,LONG,414.99,419.13,412.92,LOSS,-10.137
2024-07-12,VEDL.NS,ORB,LONG,394.06,397.99,392.1,LOSS,-10.649
2024-07-15,VEDL.NS,ORB,LONG,394.24,398.17,392.27,WIN,-9.149
2024-07-18,VEDL.NS,ORB,LONG,400.21,404.2,398.22,LOSS,-10.493
2024-07-22,VEDL.NS,ORB,LONG,385.43,389.28,383.51,WIN,-9.381
2024-07-24,VEDL.NS,ORB,LONG,380.9,384.7,379.0,LOSS,-11.0
2024-07-25,VEDL.NS,ORB,LONG,373.96,377.69,372.1,LOSS,-11.195
2024-07-26,VEDL.NS,ORB,LONG,382.82,386.63,380.91,WIN,-9.451
2024-07-29,VEDL.NS,ORB,LONG,389.79,393.68,387.85,WIN,-9.264
2024-07-30,VEDL.NS,ORB,LONG,389.62,393.5,387.67,LOSS,-10.765
2024-07-31,VEDL.NS,ORB,LONG,395.02,398.96,393.05,LOSS,-10.625
2024-08-01,VEDL.NS,ORB,LONG,399.38,403.37,397.39,LOSS,-10.514
2024-08-02,VEDL.NS,ORB,LONG,387.14,391.0,385.21,LOSS,-10.831
2024-08-05,VEDL.NS,ORB,LONG,373.07,376.79,371.2,LOSS,-11.221
2024-08-06,VEDL.NS,ORB,LONG,367.39,371.05,365.56,LOSS,-11.386
2024-08-07,VEDL.NS,ORB,LONG,374.39,378.12,372.52,WIN,-9.687
2024-08-08,VEDL.NS,ORB,LONG,378.39,382.16,376.5,LOSS,-11.07
2024-08-09,VEDL.NS,ORB,LONG,378.43,382.21,376.55,LOSS,-11.069
2024-08-12,VEDL.NS,ORB,LONG,374.96,378.7,373.09,WIN,-9.67
2024-08-14,VEDL.NS,ORB,LONG,373.95,377.67,372.08,LOSS,-11.195
2024-08-16,VEDL.NS,ORB,LONG,374.82,378.56,372.96,LOSS,-11.17
2024-08-19,VEDL.NS,ORB,LONG,378.78,382.56,376.9,WIN,-9.563
2024-08-20,VEDL.NS,ORB,LONG,391.1,395.0,389.15,LOSS,-10.726
2024-08-21,VEDL.NS,ORB,LONG,395.59,399.54,393.62,WIN,-9.114
2024-08-22,VEDL.NS,ORB,LONG,404.74,408.78,402.72,LOSS,-10.382
2024-08-26,VEDL.NS,ORB,LONG,398.58,402.56,396.59,WIN,-9.038
2024-08-27,VEDL.NS,ORB,LONG,407.38,411.44,405.35,LOSS,-10.318
2024-08-30,VEDL.NS,ORB,LONG,409.71,413.8,407.67,WIN,-8.766
