date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-28,VEDL.NS,VWAP,LONG,386.92,393.12,385.11,WIN,-8.738
2024-07-01,VEDL.NS,VWAP,LONG,397.72,402.85,395.87,WIN,-8.766
2024-08-19,VEDL.NS,VWAP,LONG,378.03,384.93,375.8,WIN,-8.755
2024-08-26,VEDL.NS,VWAP,LONG,397.79,403.84,395.72,WIN,-8.535
2024-09-12,VEDL.NS,VWAP,LONG,394.79,401.7,392.46,WIN,-8.381
2024-09-13,VEDL.NS,VWAP,LONG,408.42,414.2,406.83,WIN,-8.378
2024-09-24,VEDL.NS,VWAP,LONG,418.89,427.88,417.36,WIN,-7.401
2024-09-27,VEDL.NS,VWAP,LONG,464.51,469.21,463.12,WIN,-7.599
2024-10-10,VEDL.NS,VWAP,LONG,447.99,452.26,446.23,WIN,-7.974
2024-11-05,VEDL.NS,VWAP,LONG,421.36,427.49,418.55,WIN,-8.04
2024-12-02,VEDL.NS,VWAP,LONG,416.32,420.26,414.61,WIN,-8.662
2024-12-06,VEDL.NS,VWAP,LONG,436.05,452.35,432.73,WIN,-5.435
2024-12-11,VEDL.NS,VWAP,LONG,458.09,470.12,456.25,WIN,-6.106
2025-01-03,VEDL.NS,VWAP,LONG,421.13,427.35,418.56,WIN,-8.02
2025-01-07,VEDL.NS,VWAP,LONG,414.12,418.92,412.87,WIN,-8.5
2025-01-14,VEDL.NS,VWAP,LONG,386.73,397.44,384.54,WIN,-7.574
2025-01-16,VEDL.NS,VWAP,LONG,410.38,417.33,408.21,WIN,-8.053
2025-02-04,VEDL.NS,VWAP,LONG,400.75,407.6,399.55,WIN,-8.271
2025-02-07,VEDL.NS,VWAP,LONG,414.82,421.61,411.66,WIN,-8.005
2025-02-20,VEDL.NS,VWAP,LONG,395.33,401.89,393.35,WIN,-8.458
2025-03-05,VEDL.NS,VWAP,LONG,374.76,392.3,373.64,WIN,-5.993
2025-03-11,VEDL.NS,VWAP,LONG,400.56,408.02,397.03,WIN,-8.124
2025-05-07,VEDL.NS,VWAP,LONG,376.49,384.75,374.66,WIN,-8.43
2025-05-12,VEDL.NS,VWAP,LONG,392.57,402.23,389.43,WIN,-7.728
2025-06-20,VEDL.NS,VWAP,LONG,409.86,415.35,407.93,WIN,-8.42
2025-06-26,VEDL.NS,VWAP,LONG,420.66,428.04,417.65,WIN,-7.756
2025-06-27,VEDL.NS,VWAP,LONG,436.28,440.72,434.55,WIN,-8.152
2025-09-01,VEDL.NS,VWAP,LONG,416.27,422.51,415.02,WIN,-8.11
2025-09-03,VEDL.NS,VWAP,LONG,426.56,430.72,424.64,WIN,-8.401
2025-09-05,VEDL.NS,VWAP,LONG,429.27,435.36,427.59,WIN,-7.898
2025-09-12,VEDL.NS,VWAP,LONG,433.21,440.97,431.02,WIN,-7.441
2025-09-25,VEDL.NS,VWAP,LONG,444.04,450.85,441.23,WIN,-7.473
2025-10-03,VEDL.NS,VWAP,LONG,457.67,464.03,455.96,WIN,-7.35
2025-10-29,VEDL.NS,VWAP,LONG,496.27,506.43,494.78,WIN,-6.013
2025-11-03,VEDL.NS,VWAP,LONG,494.25,500.93,491.2,WIN,-6.74
2025-11-25,VEDL.NS,VWAP,LONG,487.95,494.11,486.48,WIN,-6.934
2025-11-28,VEDL.NS,VWAP,LONG,511.38,516.52,509.11,WIN,-6.816
2025-12-02,VEDL.NS,VWAP,LONG,522.65,527.33,520.35,WIN,-6.759
2025-12-12,VEDL.NS,VWAP,LONG,526.74,532.82,525.16,WIN,-6.44
2025-12-16,VEDL.NS,VWAP,LONG,539.54,553.29,535.17,WIN,-4.864
2026-01-02,VEDL.NS,VWAP,LONG,594.87,602.93,592.5,WIN,-5.369
2026-01-09,VEDL.NS,VWAP,LONG,593.69,599.16,591.27,WIN,-5.816
2026-01-14,VEDL.NS,VWAP,LONG,637.01,654.85,630.34,WIN,-3.479
2026-01-28,VEDL.NS,VWAP,LONG,700.12,717.73,697.04,WIN,-3.198
2026-01-29,VEDL.NS,VWAP,LONG,733.74,747.24,729.33,WIN,-3.612
2026-02-06,VEDL.NS,VWAP,LONG,633.07,650.68,628.47,WIN,-3.536
2026-02-24,VEDL.NS,VWAP,LONG,668.02,678.67,663.57,WIN,-4.395
2026-02-25,VEDL.NS,VWAP,LONG,695.49,710.32,693.41,WIN,-3.619
2026-03-02,VEDL.NS,VWAP,LONG,684.27,704.68,682.22,WIN,-2.862
2026-03-05,VEDL.NS,VWAP,LONG,695.54,706.58,693.01,WIN,-4.163
2026-04-01,VEDL.NS,VWAP,LONG,664.66,676.62,661.82,WIN,-4.22
2026-04-06,VEDL.NS,VWAP,LONG,688.44,695.07,685.43,WIN,-4.847
2026-04-13,VEDL.NS,VWAP,LONG,735.73,747.05,732.53,WIN,-3.899
2026-05-04,VEDL.NS,VWAP,LONG,277.28,288.53,274.4,WIN,-10.366
2026-05-12,VEDL.NS,VWAP,LONG,298.4,304.35,297.5,WIN,-11.41
