date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-28,WIPRO.NS,MOMENTUM,LONG,240.21,259.64,230.5,PARTIAL,-16.196
2024-07-01,WIPRO.NS,MOMENTUM,LONG,242.98,263.91,232.52,PARTIAL,-14.739
2024-07-02,WIPRO.NS,MOMENTUM,LONG,248.33,274.39,235.3,PARTIAL,-14.528
2024-07-03,WIPRO.NS,MOMENTUM,LONG,254.24,285.64,238.54,PARTIAL,-16.368
2024-07-04,WIPRO.NS,MOMENTUM,LONG,254.01,279.6,241.21,PARTIAL,-17.822
2024-07-05,WIPRO.NS,MOMENTUM,LONG,249.29,262.74,242.57,PARTIAL,-15.44
2024-07-08,WIPRO.NS,MOMENTUM,LONG,251.45,266.22,244.06,PARTIAL,-15.029
2024-07-15,WIPRO.NS,MOMENTUM,LONG,265.97,296.12,250.9,PARTIAL,-16.408
2024-07-16,WIPRO.NS,MOMENTUM,LONG,263.6,284.75,253.03,PARTIAL,-15.657
2024-07-18,WIPRO.NS,MOMENTUM,LONG,261.12,273.89,254.73,PARTIAL,-12.43
2024-07-19,WIPRO.NS,MOMENTUM,LONG,272.07,301.5,257.36,PARTIAL,-18.712
2024-07-29,WIPRO.NS,MOMENTUM,LONG,247.72,253.77,244.7,PARTIAL,-16.928
2024-07-30,WIPRO.NS,MOMENTUM,LONG,246.03,248.56,244.77,LOSS,-16.772
2024-08-16,WIPRO.NS,MOMENTUM,LONG,235.05,241.65,231.76,WIN,-14.212
2024-08-19,WIPRO.NS,MOMENTUM,LONG,242.09,258.97,233.65,PARTIAL,-15.897
2024-08-20,WIPRO.NS,MOMENTUM,LONG,243.92,260.77,235.5,PARTIAL,-15.586
2024-08-21,WIPRO.NS,MOMENTUM,LONG,245.56,261.83,237.43,PARTIAL,-15.826
2024-08-22,WIPRO.NS,MOMENTUM,LONG,247.63,264.61,239.14,PARTIAL,-17.919
2024-08-29,WIPRO.NS,MOMENTUM,LONG,251.01,268.06,242.48,PARTIAL,-15.345
2024-08-30,WIPRO.NS,MOMENTUM,LONG,254.15,273.79,244.33,PARTIAL,-16.447
2024-09-02,WIPRO.NS,MOMENTUM,LONG,252.6,266.24,245.78,PARTIAL,-17.039
2024-09-03,WIPRO.NS,MOMENTUM,LONG,250.07,257.43,246.39,PARTIAL,-15.524
2024-09-11,WIPRO.NS,MOMENTUM,LONG,246.31,249.42,244.76,LOSS,-16.869
2024-09-13,WIPRO.NS,MOMENTUM,LONG,250.44,262.04,244.64,PARTIAL,-12.928
2024-09-16,WIPRO.NS,MOMENTUM,LONG,259.45,284.01,247.17,PARTIAL,-15.716
2024-09-17,WIPRO.NS,MOMENTUM,LONG,257.57,274.09,249.32,PARTIAL,-15.102
2024-09-18,WIPRO.NS,MOMENTUM,LONG,257.6,270.72,251.03,LOSS,-18.076
2024-09-19,WIPRO.NS,MOMENTUM,LONG,255.32,263.72,251.12,LOSS,-17.311
2024-10-15,WIPRO.NS,MOMENTUM,LONG,259.38,278.17,249.99,LOSS,-19.043
2024-10-17,WIPRO.NS,MOMENTUM,LONG,250.98,253.8,249.57,LOSS,-16.499
2024-10-22,WIPRO.NS,MOMENTUM,LONG,257.95,270.54,251.65,PARTIAL,-16.397
2024-10-23,WIPRO.NS,MOMENTUM,LONG,256.87,266.01,252.3,PARTIAL,-15.727
2024-10-24,WIPRO.NS,MOMENTUM,LONG,256.73,264.23,252.98,PARTIAL,-15.735
2024-10-29,WIPRO.NS,MOMENTUM,LONG,262.64,277.77,255.08,PARTIAL,-14.902
2024-10-30,WIPRO.NS,MOMENTUM,LONG,263.91,278.52,256.6,PARTIAL,-14.768
2024-10-31,WIPRO.NS,MOMENTUM,LONG,264.99,278.74,258.11,LOSS,-17.69
2024-11-07,WIPRO.NS,MOMENTUM,LONG,265.55,281.08,257.78,PARTIAL,-15.622
2024-11-08,WIPRO.NS,MOMENTUM,LONG,265.08,277.48,258.88,PARTIAL,-14.482
2024-11-11,WIPRO.NS,MOMENTUM,LONG,266.96,280.31,260.28,PARTIAL,-14.294
2024-11-12,WIPRO.NS,MOMENTUM,LONG,269.77,285.67,261.83,PARTIAL,-15.683
2024-11-13,WIPRO.NS,MOMENTUM,LONG,267.43,276.69,262.79,PARTIAL,-15.233
2024-11-26,WIPRO.NS,MOMENTUM,LONG,274.46,293.46,264.96,PARTIAL,-13.991
2024-11-27,WIPRO.NS,MOMENTUM,LONG,277.51,298.5,267.02,PARTIAL,-15.966
2024-11-28,WIPRO.NS,MOMENTUM,LONG,274.82,288.26,268.09,LOSS,-17.002
2024-12-05,WIPRO.NS,MOMENTUM,LONG,276.81,288.56,270.93,PARTIAL,-13.094
2024-12-06,WIPRO.NS,MOMENTUM,LONG,280.7,296.73,272.69,PARTIAL,-14.951
2024-12-09,WIPRO.NS,MOMENTUM,LONG,276.81,282.96,273.73,WIN,-12.227
2024-12-10,WIPRO.NS,MOMENTUM,LONG,287.13,309.87,275.76,PARTIAL,-13.345
2024-12-11,WIPRO.NS,MOMENTUM,LONG,289.15,311.05,278.2,PARTIAL,-13.658
2024-12-12,WIPRO.NS,MOMENTUM,LONG,289.01,306.39,280.32,PARTIAL,-13.584
2024-12-13,WIPRO.NS,MOMENTUM,LONG,290.04,306.06,282.03,PARTIAL,-13.616
2024-12-16,WIPRO.NS,MOMENTUM,LONG,290.88,305.54,283.56,PARTIAL,-14.109
2024-12-30,WIPRO.NS,MOMENTUM,LONG,290.04,295.96,287.08,LOSS,-14.811
2025-01-13,WIPRO.NS,MOMENTUM,LONG,280.52,284.03,278.76,LOSS,-14.886
2025-01-21,WIPRO.NS,MOMENTUM,LONG,283.75,303.02,274.12,PARTIAL,-15.535
