date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,WIPRO.NS,ORB,LONG,231.36,233.67,230.21,WIN,-16.291
2024-06-28,WIPRO.NS,ORB,LONG,240.69,243.1,239.49,LOSS,-17.117
2024-07-01,WIPRO.NS,ORB,LONG,243.47,245.9,242.25,WIN,-15.432
2024-07-02,WIPRO.NS,ORB,LONG,248.83,251.31,247.59,WIN,-15.078
2024-07-03,WIPRO.NS,ORB,LONG,254.75,257.29,253.48,LOSS,-16.2
2024-07-04,WIPRO.NS,ORB,LONG,254.52,257.05,253.25,WIN,-14.719
2024-07-05,WIPRO.NS,ORB,LONG,249.79,252.28,248.55,LOSS,-16.512
2024-07-08,WIPRO.NS,ORB,LONG,251.95,254.47,250.7,WIN,-14.879
2024-07-10,WIPRO.NS,ORB,LONG,254.33,256.86,253.06,LOSS,-16.226
2024-07-11,WIPRO.NS,ORB,LONG,252.31,254.82,251.05,LOSS,-16.352
2024-07-12,WIPRO.NS,ORB,LONG,256.21,258.76,254.93,WIN,-14.615
2024-07-18,WIPRO.NS,ORB,LONG,261.64,264.25,260.33,WIN,-14.291
2024-07-22,WIPRO.NS,ORB,LONG,244.93,247.37,243.7,LOSS,-16.83
2024-07-24,WIPRO.NS,ORB,LONG,236.23,238.59,235.05,LOSS,-17.431
2024-07-25,WIPRO.NS,ORB,LONG,233.17,235.5,232.01,WIN,-16.157
2024-07-26,WIPRO.NS,ORB,LONG,239.75,242.15,238.56,WIN,-15.686
2024-07-29,WIPRO.NS,ORB,LONG,248.22,250.69,246.98,LOSS,-16.614
2024-07-30,WIPRO.NS,ORB,LONG,246.52,248.98,245.29,LOSS,-16.724
2024-07-31,WIPRO.NS,ORB,LONG,245.3,247.75,244.08,LOSS,-16.805
2024-08-01,WIPRO.NS,ORB,LONG,245.87,248.32,244.64,LOSS,-16.768
2024-08-02,WIPRO.NS,ORB,LONG,242.11,244.52,240.9,LOSS,-17.02
2024-08-05,WIPRO.NS,ORB,LONG,230.35,232.65,229.2,LOSS,-17.863
2024-08-06,WIPRO.NS,ORB,LONG,230.24,232.53,229.09,WIN,-16.376
2024-08-12,WIPRO.NS,ORB,LONG,231.08,233.39,229.93,LOSS,-17.809
2024-08-13,WIPRO.NS,ORB,LONG,229.91,232.2,228.76,LOSS,-17.897
2024-08-14,WIPRO.NS,ORB,LONG,231.76,234.07,230.61,LOSS,-17.758
2024-08-16,WIPRO.NS,ORB,LONG,235.52,237.87,234.35,WIN,-15.986
2024-08-19,WIPRO.NS,ORB,LONG,242.58,244.99,241.37,WIN,-15.492
2024-08-20,WIPRO.NS,ORB,LONG,244.41,246.85,243.19,WIN,-15.369
2024-08-21,WIPRO.NS,ORB,LONG,246.05,248.51,244.83,LOSS,-16.755
2024-08-22,WIPRO.NS,ORB,LONG,248.12,250.6,246.89,LOSS,-16.62
2024-08-26,WIPRO.NS,ORB,LONG,242.58,244.99,241.37,WIN,-15.492
2024-08-27,WIPRO.NS,ORB,LONG,244.46,246.89,243.24,LOSS,-16.862
2024-08-28,WIPRO.NS,ORB,LONG,244.46,246.89,243.24,WIN,-15.365
2024-08-29,WIPRO.NS,ORB,LONG,251.51,254.02,250.25,PARTIAL,-15.514
2024-09-02,WIPRO.NS,ORB,LONG,253.11,255.63,251.84,LOSS,-16.302
2024-09-03,WIPRO.NS,ORB,LONG,250.57,253.07,249.32,WIN,-14.966
2024-09-05,WIPRO.NS,ORB,LONG,245.02,247.46,243.8,LOSS,-16.824
2024-09-06,WIPRO.NS,ORB,LONG,246.74,249.2,245.51,LOSS,-16.71
2024-09-09,WIPRO.NS,ORB,LONG,243.09,245.52,241.88,LOSS,-16.953
2024-09-10,WIPRO.NS,ORB,LONG,242.95,245.37,241.74,WIN,-15.467
2024-09-12,WIPRO.NS,ORB,LONG,244.67,247.11,243.45,WIN,-15.351
2024-09-13,WIPRO.NS,ORB,LONG,250.94,253.45,249.69,WIN,-14.942
2024-09-16,WIPRO.NS,ORB,LONG,259.97,262.56,258.67,LOSS,-15.885
2024-09-17,WIPRO.NS,ORB,LONG,258.09,260.66,256.8,LOSS,-15.997
2024-09-19,WIPRO.NS,ORB,LONG,255.83,258.38,254.56,WIN,-14.638
2024-09-20,WIPRO.NS,ORB,LONG,252.87,255.39,251.61,LOSS,-16.317
2024-09-24,WIPRO.NS,ORB,LONG,250.19,252.69,248.94,WIN,-14.99
2024-09-26,WIPRO.NS,ORB,LONG,253.25,255.77,251.98,LOSS,-16.294
2024-09-27,WIPRO.NS,ORB,LONG,258.04,260.62,256.76,WIN,-14.504
2024-09-30,WIPRO.NS,ORB,LONG,252.92,255.44,251.66,LOSS,-16.314
