date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,WIPRO.NS,VWAP,LONG,230.9,236.22,228.83,WIN,-15.021
2024-07-02,WIPRO.NS,VWAP,LONG,248.33,251.77,247.12,WIN,-14.723
2024-07-18,WIPRO.NS,VWAP,LONG,261.12,266.21,260.24,WIN,-13.366
2024-07-26,WIPRO.NS,VWAP,LONG,239.28,244.01,237.86,WIN,-14.737
2024-08-26,WIPRO.NS,VWAP,LONG,242.09,243.84,241.34,WIN,-15.8
2024-08-28,WIPRO.NS,VWAP,LONG,243.97,248.5,242.23,WIN,-14.539
2024-09-13,WIPRO.NS,VWAP,LONG,250.44,255.28,248.31,WIN,-14.041
2024-10-01,WIPRO.NS,VWAP,LONG,253.45,255.68,252.69,WIN,-14.899
2024-10-04,WIPRO.NS,VWAP,LONG,247.74,250.53,247.0,WIN,-15.022
2024-10-11,WIPRO.NS,VWAP,LONG,244.13,247.33,243.4,WIN,-15.077
2024-10-28,WIPRO.NS,VWAP,LONG,254.97,259.52,253.85,WIN,-13.904
2024-11-08,WIPRO.NS,VWAP,LONG,265.08,267.6,264.29,WIN,-14.141
2024-12-09,WIPRO.NS,VWAP,LONG,276.81,282.22,274.81,WIN,-12.496
2025-01-02,WIPRO.NS,VWAP,LONG,279.62,282.91,277.99,WIN,-13.131
2025-01-10,WIPRO.NS,VWAP,LONG,276.15,280.63,275.33,WIN,-12.865
2025-01-22,WIPRO.NS,VWAP,LONG,280.89,286.99,280.05,WIN,-12.071
2025-01-23,WIPRO.NS,VWAP,LONG,291.92,297.77,290.62,WIN,-11.699
2025-01-29,WIPRO.NS,VWAP,LONG,291.93,297.07,291.05,WIN,-11.941
2025-02-18,WIPRO.NS,VWAP,LONG,292.21,296.46,291.34,WIN,-12.234
2025-03-03,WIPRO.NS,VWAP,LONG,267.43,270.62,266.48,WIN,-13.764
2025-04-23,WIPRO.NS,VWAP,LONG,227.0,231.06,225.27,WIN,-15.833
2025-05-07,WIPRO.NS,VWAP,LONG,225.86,230.88,225.18,WIN,-15.486
2025-05-09,WIPRO.NS,VWAP,LONG,226.42,229.91,225.65,WIN,-16.125
2025-05-12,WIPRO.NS,VWAP,LONG,234.55,242.23,233.64,WIN,-13.78
2025-06-13,WIPRO.NS,VWAP,LONG,244.03,247.44,242.35,WIN,-14.995
2025-06-25,WIPRO.NS,VWAP,LONG,254.46,256.6,253.65,WIN,-14.878
2025-08-11,WIPRO.NS,VWAP,LONG,233.27,235.58,232.15,WIN,-16.156
2025-08-20,WIPRO.NS,VWAP,LONG,239.37,243.39,238.65,WIN,-15.028
2025-08-25,WIPRO.NS,VWAP,LONG,244.54,247.52,243.8,WIN,-15.138
2025-09-09,WIPRO.NS,VWAP,LONG,239.07,241.76,238.36,WIN,-15.608
2025-09-10,WIPRO.NS,VWAP,LONG,243.27,247.66,242.49,WIN,-14.637
2025-11-19,WIPRO.NS,VWAP,LONG,235.36,238.33,234.02,WIN,-15.734
2025-11-24,WIPRO.NS,VWAP,LONG,239.09,241.0,238.38,WIN,-15.931
2025-11-26,WIPRO.NS,VWAP,LONG,240.05,242.53,238.96,WIN,-15.632
2025-12-03,WIPRO.NS,VWAP,LONG,244.54,247.73,243.76,WIN,-15.053
2025-12-22,WIPRO.NS,VWAP,LONG,261.04,264.04,259.57,WIN,-14.174
2026-01-07,WIPRO.NS,VWAP,LONG,258.59,262.49,257.33,WIN,-13.96
2026-01-16,WIPRO.NS,VWAP,LONG,256.88,260.04,255.87,WIN,-14.343
2026-02-25,WIPRO.NS,VWAP,LONG,201.51,202.9,200.91,WIN,-19.159
2026-03-02,WIPRO.NS,VWAP,LONG,195.19,197.88,194.31,WIN,-19.118
2026-03-18,WIPRO.NS,VWAP,LONG,193.19,195.0,192.3,WIN,-19.771
2026-04-07,WIPRO.NS,VWAP,LONG,197.21,202.33,196.62,WIN,-17.684
2026-04-27,WIPRO.NS,VWAP,LONG,199.56,203.22,198.96,WIN,-18.21
